"IMMINGHAM (COMPRESSOR STN.)",,,,,,,,,,,,
Grid ref,TA208149,Long,-0.175289,Lat,53.616722,,,,,,,
Station no,2577/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.93,1.75,1.19,1.79,1.45,5.29,1.32,1.79,2.38,3.63,,
February,2.24,0.58,1.60,2.10,1.88,1.66,1.66,3.22,0.20,2.09,,
March,2.38,2.05,0.63,1.88,2.82,0.69,1.24,1.90,1.05,1.15,,
April,1.10,0.86,2.11,0.35,0.64,1.31,0.38,0.96,1.75,0.98,,
May,3.87,1.29,1.53,2.24,3.54,0.56,1.35,1.99,0.36,0.72,,
June,1.18,1.92,2.29,1.80,2.22,2.55,1.67,4.15,0.91,0.21,,
July,1.56,0.49,1.95,1.91,0.17,3.93,2.37,3.55,1.61,2.51,,
August,4.47,1.82,2.51,3.89,0.60,3.94,2.34,1.76,0.34,2.44,,
September,0.80,3.34,0.94,1.82,1.46,1.50,3.37,1.88,0.21,2.00,,
October,1.21,2.42,2.10,3.63,1.18,0.89,0.92,1.48,1.63,5.00,,
November,3.01,2.25,1.18,3.53,0.76,1.03,2.01,0.63,2.21,3.28,,
December,1.29,1.65,1.11,2.23,2.01,1.11,1.85,2.67,3.40,3.87,,
Total,25.04,20.42,19.14,27.17,18.73,24.46,20.48,25.98,16.05,27.88,,
Calc annual,25.04,20.42,19.14,27.17,18.73,24.46,20.48,25.98,16.05,27.88,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,,
