IMMINGHAM - COMPRESSOR STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA208149,Long,-0.175,Lat,53.617,Elevation,13,ft,,,,,,,,,,,,,,,,,,,
Station no,2577/5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.84,3.38,2.73,1.67,3.10,2.01,2.92,2.88,3.54,2.66,3.09,1.91,2.63,4.30,1.09,1.02,1.93,1.75,1.19,1.79,1.45,5.29,1.32,1.79,2.38,3.63
February,,2.62,2.54,1.82,1.36,1.62,2.20,2.81,1.23,,2.74,2.50,1.10,2.22,1.03,0.41,3.64,2.24,0.58,1.60,2.10,1.88,1.66,1.66,3.22,0.20,2.09
March,,0.63,0.68,2.23,0.30,1.85,1.44,3.27,0.86,0.26,0.62,0.58,1.13,3.13,0.50,0.63,0.78,2.38,2.05,0.63,1.88,2.82,0.69,1.24,1.90,1.05,1.15
April,,2.02,1.80,3.40,0.22,1.75,0.93,0.73,1.18,0.89,2.08,1.96,1.33,0.95,2.12,2.13,3.25,1.10,0.86,2.11,0.35,0.64,1.31,0.38,0.96,1.75,0.98
May,,0.48,1.60,3.36,2.22,1.12,1.73,1.31,3.08,2.46,1.62,1.37,1.23,0.62,1.48,1.11,2.48,3.87,1.29,1.53,2.24,3.54,0.56,1.35,1.99,0.36,0.72
June,,1.71,3.03,1.21,1.74,3.57,0.77,0.38,1.63,1.95,2.46,1.78,2.25,2.07,3.59,0.51,2.09,1.18,1.92,2.29,1.80,2.22,2.55,1.67,4.15,0.91,0.21
July,,0.48,4.18,2.48,3.80,2.66,5.58,4.39,1.90,0.71,2.69,1.25,3.71,1.01,0.79,3.42,2.29,1.56,0.49,1.95,1.91,0.17,3.93,2.37,3.55,1.61,2.51
August,,0.97,1.17,0.72,4.19,2.73,0.91,1.97,1.00,2.36,2.93,2.94,2.58,0.13,2.75,1.10,2.88,4.47,1.82,2.51,3.89,0.60,3.94,2.34,1.76,0.34,2.44
September,,5.09,2.04,1.35,2.69,0.79,0.49,1.05,2.18,1.87,3.68,0.86,4.10,0.82,1.88,0.84,2.38,0.80,3.34,0.94,1.82,1.46,1.50,3.37,1.88,0.21,2.00
October,,3.21,1.80,1.77,2.79,2.91,3.53,2.92,1.70,0.89,2.12,1.90,1.69,0.72,1.64,2.49,0.94,1.21,2.42,2.10,3.63,1.18,0.89,0.92,1.48,1.63,5.00
November,1.85,4.19,2.45,2.34,2.19,3.92,4.31,2.48,2.04,2.29,3.49,0.88,4.14,1.06,0.75,2.46,3.61,3.01,2.25,1.18,3.53,0.76,1.03,2.01,0.63,2.21,3.28
December,2.97,2.28,1.42,4.14,3.64,2.19,1.69,0.36,1.88,0.94,1.40,1.43,1.79,2.50,2.47,1.92,2.19,1.29,1.65,1.11,2.23,2.01,1.11,1.85,2.67,3.40,3.87
Total,,25.52,26.09,27.55,26.81,28.21,25.59,24.59,21.56,,28.49,20.54,26.96,17.86,23.30,18.11,27.55,25.04,20.42,19.14,27.17,18.73,24.46,20.48,25.98,16.05,27.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/175,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/259,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/263,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for February 1943 is shown as an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1974 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
