HIGHGATE-NURSERIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ282870,Long,-0.15172724,Lat,51.567309,Elevation,366,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,1.92,2.83,1.36,4.18,3.15,2.45,3.47,2.41,1.69,1.74,3.73,3.07,1.29,2.52,1.29,4.86,1.31,2.22,0.23,1.51,1.33,2.51,2.13,1.38,3.44,1.37,,
February,,,0.39,0.84,0.96,2.38,3.36,1.58,0.71,2.44,1.4,1.43,1.07,2.15,0.81,1.05,1.99,1.89,1.11,4.6,1.9,3.43,0.92,3.41,1.67,3.2,0.81,0.6,,
March,,,3.71,0.84,2.89,1.2,1.69,2.59,1.68,1.62,2.25,1.04,2.66,1.62,0.66,0.81,3.32,2.59,0.56,1.29,0.93,1.83,1.8,0.87,1.53,1.82,1.49,1.24,,
April,,,2.46,0.41,0.92,0.45,1.87,2.02,1.56,1.19,0.52,3.21,1.62,0.62,1.33,1.46,1.88,2.91,4.66,3.23,2.14,0.8,2.95,1.68,1.19,2.4,1.19,1.51,,
May,,,3.29,1.42,1.7,3.94,2.18,2.99,0.98,3.16,0.8,0.76,3.18,1.76,0.73,1.56,0.98,2.23,2.88,3.37,0.33,1.45,1.3,1.95,0.94,2.61,4.97,2.02,,
June,,,2.71,5.19,1.96,1.42,4.54,1.31,0.57,0.9,1.04,2.56,2.47,2.3,1.95,2.72,1.69,0.43,3.72,4.8,2.93,1.82,2.59,1.64,3.39,2.36,0.71,1.01,,
July,,,2.03,0.93,0.6,1.98,1.28,4.3,0.38,0.71,1.24,3.77,2.24,1.83,0.99,4.92,0.76,4.28,0.66,4.18,5.59,1.99,2.61,2.21,2.65,0.48,2.83,1.07,,
August,,,2.49,1.76,0.64,5.28,2.27,2.91,2.17,1.4,2.06,1.05,1.74,2.6,1.48,1.45,2.26,3.3,6.25,4.84,0.46,4.61,1.31,1.12,0.69,1.17,0.97,2.57,,
September,,,2.38,3.55,3.26,0.55,4.21,2.25,1.48,2.78,2.1,5.11,1.52,2.44,2.86,2.73,3.4,0.91,0.74,3.25,3.97,2.18,2.82,3.74,1.94,4.82,1.65,2.13,,
October,,,3.62,2,1.29,5.79,2.24,2.21,2.82,2.46,3.63,1.11,5.61,3.01,3.47,3.39,1.19,1.73,2.11,0.86,5.65,2.81,5.35,1.82,1.19,3.56,2.49,1.36,,
November,,,1.37,1.9,2.08,2.02,1.76,0.2,0.98,2.29,1.64,0.71,3.53,1.91,1.25,3,3.42,3.7,3.1,0.61,2,2.36,2.77,2.64,1.16,3.63,3.24,3.37,,
December,,,1.87,1.08,0.5,1.3,3.59,2.33,5.11,2.93,3.12,1.24,4.49,0.53,1.51,1.33,6.27,1.85,1.36,0.89,3.04,2.71,2.64,1.11,3.78,1.11,2.67,1.39,,
Total,,,28.24,22.75,18.16,30.49,32.14,27.14,21.91,24.29,21.49,23.73,33.86,23.84,18.33,26.94,28.45,30.68,28.46,34.14,29.17,27.5,28.39,24.7,22.26,28.54,26.46,19.64,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is  a nursery off West Hill Highgate. The Cutbush family, James is the observer, owned nurseries including one in Highgate and I am fairly confident that this is the right nursery. The nursery slopes significantly and the NGR is at an altitude of about 366ft as quoted on most of the records. Some later records indicate a higher altitude of around 400ft, which suggests the gauge may have moved around the site, however, amove of just under 100yards N would achieve the higher altitude.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
