BRATHY HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,NY365033,Long,-2.9801315,Lat,54.421154,Elevation,140,ft,,,,,,,,,,,,
Station no,RR4339,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,6.57,9.59,13.82,5.45,14.04,9.76,2.87,2.09,1.16,,,,,,,,
February,,,,1.52,3.42,2.59,8.9,7.1,5.39,4.36,9.06,8.65,,,,,,,,
March,,,,4.02,6.83,1.84,7.7,3.69,4.66,6.2,3.6,9.65,,,,,,,,
April,,,,0.44,2.65,2.38,3.66,3.4,3.32,2.75,4.44,2.67,,,,,,,,
May,,,,3.08,2.03,3.94,0.65,5.3,5.72,2.09,2.99,7.86,,,,,,,,
June,,,,4.32,2.17,5.93,4.1,4.85,4.35,6.64,5.69,5.01,,,,,,,,
July,,,,11.63,3.63,3.39,3.39,7.1,1.15,9.3,7.15,6.94,,,,,,,,
August,,,,9.11,11.98,5.1,5.89,8.15,6.72,7.96,1.9,6.83,,,,,,,,
September,,,,6.02,7.94,8.65,6.51,5.1,8.6,8.63,6.63,9.52,,,,,,,,
October,,,,10.92,18.81,7.41,5.61,11.32,5.66,3.94,2.85,4.87,,,,,,,,
November,,,,4.65,7.95,8.67,7.39,16.94,3.51,1.62,13.94,11.06,,,,,,,,
December,,,,5.34,5.1,7.2,12.47,9.57,4,7.67,9.44,10.89,,,,,,,,
Total,,,,67.62,82.1,70.92,71.72,96.56,62.84,64.03,69.78,85.11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near The Lodge rather than the Hall itself - fits distance/direction to church and elevation,,,,,,,,,,,,,,,,,,,,
