GLENRIGH (LOWER),,,,,,,,,,,,
Grid ref,NN061630,Long,-5.170145,Lat,56.718281,,,,,,,
Station no,5741/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,9.60,3.40,4.90,,
February,,,,,,,,3.65,6.20,7.78,,
March,,,,,,,,3.20,6.10,1.63,,
April,,,,,,,,5.30,6.10,6.89,,
May,,,,,,,,6.90,1.70,3.20,,
June,,,,,,,,2.60,6.30,4.50,,
July,,,,,,,,3.80,8.10,5.00,,
August,,,,,,,,5.70,7.20,5.50,,
September,,,,,,,,6.00,3.70,4.00,,
October,,,,,,,,10.70,9.10,1.80,,
November,,,,,,,,2.80,9.90,6.90,,
December,,,,,,,,6.90,11.70,9.20,,
Total,,,,,,,,67.15,79.50,61.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.15,79.50,61.30,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
