GLENRIGH (LOWER),,,,,,,,,,
Grid ref,NN061630,Long,-5.170145,Lat,56.718281,Elevation,426,ft,,
Station no,5741/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,9.6,3.4,4.9
February,,,,,,,,3.65,6.2,7.78
March,,,,,,,,3.2,6.1,1.63
April,,,,,,,,5.3,6.1,6.89
May,,,,,,,,6.9,1.7,3.2
June,,,,,,,,2.6,6.3,4.5
July,,,,,,,,3.8,8.1,5
August,,,,,,,,5.7,7.2,5.5
September,,,,,,,,6,3.7,4
October,,,,,,,,10.7,9.1,1.8
November,,,,,,,,2.8,9.9,6.9
December,,,,,,,,6.9,11.7,9.2
Total,,,,,,,,67.15,79.5,61.3
,,,,,,,,,,
Station no,5741/7,,,,,,,,,
Midas,13997,,,,,,,,,
Hyd Stn,691599,,,,,,,,,
