"SALLAGH SPRINGS, LARNE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ID348049,Long,-5.900541,Lat,54.873817,Elevation,566,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.66,3.33,6.78,5.18,7.26,6.1,5.24,5.77,3.82,6.76,5.67,9.54,2.91,5.96,5.76,5.07,2.85,4.38,2.24,7.11,7.7,6.16,5.34,5.23,3.37,7.87,7.28,5.03,4.35,5.88,4.96,7.53,3.81,2.24,3.51,4.21,1.52,5.07,5.24,5.05,5.58,5.87,3.47,
February,,,,,,,,1.52,5.74,2.65,3.87,0.87,5.17,8.09,2.47,4.93,5.4,3.3,5.07,3.74,0.79,4.22,0.08,4.01,0.51,5.4,3.53,7.18,2.67,4.62,4.25,4.97,2.66,3.28,1.81,4.27,3.73,1.72,2.72,3.53,4.28,3.26,0.8,1.47,5.41,6.05,1.85,4.5,5.26,1.61,
March,,,,,,,,3.76,0.82,4.97,4.24,3.89,2.54,2.53,1.59,2.42,2.4,3.94,6.09,0.7,2.98,1.62,2.29,3.21,2.78,1.44,3.83,4.67,2.12,5,5.39,4.71,4.35,1.35,1.5,1.73,2.26,5.08,3.11,2.94,2.19,3.7,2.18,0.6,4.73,1.77,2.06,4.23,3.04,3.25,
April,,,,,,,,3.53,1.98,2.44,3.78,1.44,4.43,3.77,3.65,5.66,2.56,2.36,2.34,1.64,1.84,3.19,5,2.25,4.81,3.62,1.25,3.18,0.6,2.99,6.35,2.73,2.64,3.41,3.43,1.81,0.96,4.47,1.65,3.62,5.25,2.31,1.96,2.36,1.33,3.69,1.47,1.86,2.61,3.67,
May,,,,,,,,6.63,3.06,1.65,5.45,3.11,1.57,2.34,5.4,7.74,3.36,2.22,1.46,3.51,2.58,4.95,3.02,2.9,4.37,1.19,2.58,2.23,4.54,1.19,1.52,2.54,5.07,4.32,2.64,5,1.27,4.06,1.88,2.91,1.9,2.79,2.38,2.92,4.05,3.54,1.8,3.36,3.53,1.84,
June,,,,,,,,2.87,2.21,2.71,4.77,0.28,2.46,1.48,2.97,0.56,2.82,5.05,8.85,2.85,2.79,7.66,2.97,2.68,2.03,4.82,3.33,2.99,4.91,2.39,1.05,0.46,0.63,3.95,4.15,5.12,4.48,3.07,4.18,1.08,2.06,4.43,2.81,3.13,3.29,5.13,3.72,3.34,6.08,2.43,
July,,,,,,,,2.75,4.61,0.67,4.61,5.58,4.55,3.46,6.87,3.91,4.26,4.09,2.5,3.76,4.14,4.47,5.2,4.34,2.36,1.94,7.82,4.35,4.63,5.74,4.55,4.39,4.3,1.92,3.48,3.48,3.8,4.98,2.78,2.88,6.65,2.55,2.3,6.34,4.26,0.19,4.62,5.27,6,4.66,
August,,,,,,,,5.16,5,4.06,3.52,4.41,4.35,7.78,5.06,1.97,5.27,3.54,6.32,6.34,8.13,5.25,2.03,3.14,5.3,1.66,3.67,3.09,3,1.9,1.63,5.63,6.26,7.83,3.1,1.34,5.04,0.12,5.9,3.73,6.32,5.93,7.14,4.15,3.1,1.77,8.67,5.01,5.16,1.61,
September,,,,,,,,2.21,6.9,4.41,3.46,1.81,3.56,5.05,7.2,4.4,3.57,6.7,3.43,1.11,5.28,2.63,4.75,1.39,6.09,6.81,4.32,2.87,4.27,2.85,3.91,2.08,5.72,6.23,8.2,3.5,8.39,3.28,5.47,3.63,8.48,3.41,3.54,5.12,4.36,5.86,4.81,8.15,5.44,1.84,
October,,,,,,,,9.97,5.79,2.98,8.64,4.33,1.15,5.19,3.18,4.88,4.7,4.11,8.44,6.28,7.78,3.12,5.07,4.15,5.89,8.16,4.01,3.69,8.78,4.53,7.9,6.75,4.4,5.34,6.46,4.62,1.77,2.78,3.27,8.09,3.07,0.85,5.27,2.96,7.42,4.86,3.68,5.4,3.83,,
November,,,,,,,,6.79,6.16,4.51,4.99,6.03,2.79,4.2,4.33,2.87,6.69,5.77,8.72,7.33,6.27,7.96,2.85,2.06,2.02,7.11,5.08,2.53,6.38,6.58,8.47,6.92,1.16,4.5,6.62,1.78,6.7,7.35,2.65,5.15,3.25,8.79,4.22,5,6.51,3.45,2.86,2.52,1.94,,
December,,,,,,,,3.24,5.55,10.42,7.44,6.47,4.58,5.84,5.99,5.22,2.35,3.71,5.81,11.49,5.01,3.67,6.86,2.68,8.46,5.29,5.01,4.75,6.21,4.31,5.94,2.63,7.19,3.65,5.55,5.47,4.7,2.8,5.37,5.65,4.29,6.64,4.41,4.15,6.88,7.4,6.57,7.07,6.72,,
Total,,,,,,,,52.09,51.15,48.25,59.95,45.48,43.25,54.97,54.48,48.38,50.14,50.46,68.57,51.66,53.55,54.5,45.19,35.66,49,49.68,51.54,49.23,54.27,47.44,56.19,47.18,52.25,53.06,51.97,42.47,48.98,44.67,46.51,47.02,49.98,48.17,41.22,39.72,56.41,48.95,47.16,56.29,55.48,,
