MELTHAM ROYD EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE099099,Long,-1.851927,Lat,53.585595,Elevation,585,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,7.17,3.47,6.11,5.38,4.71,9.23,5.66,3.39,4.67,7.39,6.8,8.59,5.09,4.76,4.29,6.46,5.7,5.52,12.92,1.73,8.58,5.98,6.39,4.72,5.14,2.61,5.62,6.61,8.02,7.25,2.81,3.65,5.37,7.05,9.22,5.79,7.78,4.81,12.34,2.82,3.59,6.11,7.1,2.22,4.67,,,,,,
February,6.12,6.75,2.32,2,4.32,8.32,9.06,0.7,8.8,2.14,6.34,0.45,6.14,8.11,2.21,8.28,4.24,1.42,7.13,0.51,0.97,7.25,0.54,6.87,0.32,8.01,3.58,7.79,2.46,5.34,4.14,6.64,1.5,4.35,2.55,7.04,8.45,2.89,4.55,3.84,8.53,5.62,2.08,2.49,4.55,,,,,,
March,1.03,3.21,5.64,8.58,6.64,1.6,6.13,3.86,1.97,8.36,4.32,5.04,4.23,2.94,1.63,2.12,2.44,6.53,3.28,1.21,4.12,0.66,3.66,3.47,4.59,2.52,3.88,3.89,1.54,4.18,4.23,6.45,3.32,2.32,0.62,1.67,2.63,9.35,2.12,1.59,2.92,7.07,2.5,3.69,3.9,,,,,,
April,4.62,3.4,1.69,5.54,1.79,2.39,3.59,3.88,1.53,2.4,7.67,1.72,4.32,3.84,2.72,3.89,2.93,4.55,1.63,1.52,3.39,4.97,5.31,1.34,3.08,4.53,2.17,2.34,0.68,2.88,3.66,2.9,3.15,3.21,3.73,3.07,2.21,5.56,3.63,4.72,5.64,4.03,4.14,3.57,0.92,,,,,,
May,4.76,2.52,4.26,3.34,2.72,2.15,2.71,2.81,3.24,2.17,5.55,2.32,1.49,5.84,6.41,4.32,4.22,1.39,1.9,3.91,2.36,3.41,6.04,1.81,3.54,0.81,1.57,2.92,4.58,1.79,0.86,2.8,4.02,3.82,5.22,4.02,2.13,3.66,1.98,2.91,3.08,4.32,1.93,2.64,3.16,,,,,,
June,4.12,4.03,4.95,3.09,3.4,1.06,3.56,2,2.12,1.58,3.37,0.31,2.99,1.03,2.33,0.02,2.98,4.19,5.43,1.39,3.17,5.61,0.52,2.78,2.1,3.91,4.87,1.95,4.73,3.64,0.9,1.06,1.5,3.16,2.73,5.73,3.66,3.74,5.01,0.62,1.63,1.35,3.67,3.45,2.78,,,,,,
July,3.59,0.47,5.68,1.42,3.97,4.3,2.31,1.66,3.89,3.24,8.53,1.87,5.19,5.19,3.56,1.28,3.18,3.03,1.65,2.51,7.33,4.49,4.9,3.89,3.43,2.1,3.87,2.99,4.58,7.74,3.82,1.62,3.93,2.95,2.67,2.13,4.58,2.02,1.92,3.66,3.28,3.47,2.28,5.69,4.37,,,,,,
August,6.5,4,7.74,1.75,2.73,5.08,3.12,6.65,2.16,3.75,2.7,6.25,6.77,5.1,4.66,4.52,4.23,5.59,4.52,4.22,4.46,6.32,2.57,2.42,2.74,2.19,1.9,1.53,4.86,2.16,2.28,7.36,5.69,5.24,5.33,3.74,5.37,0.27,4.74,3.16,5.15,7.22,4.49,4.85,6.12,,,,,,
September,0.31,3.52,2.53,2.25,3.1,0.47,2.54,2.46,14.4,2.33,1.85,1.29,4.7,4.23,5.25,3.71,2.86,6.46,0.42,1.77,5.36,4.81,4.71,2.73,2.69,7.72,5.96,1.88,2.29,1.39,4.52,0.67,3.4,4.44,5.95,3.31,7.04,2.66,2.44,1.41,7.35,2.44,4.66,3.26,5.67,,,,,,
October,3.77,4.24,4.85,3.61,2.87,1.92,8.48,8.43,3.44,3.45,2.23,2.8,1.3,5.58,6.04,5.72,4.85,5.6,5.87,5.51,6.53,2.58,7.89,5.46,5.98,12.96,5.8,3.05,12.94,3.32,5.65,5.95,6.51,2.24,4.81,8.07,1.62,1.16,2.72,5.04,2.78,1.17,6.95,2.39,,,,,,,
