SHIFNAL-BADGER-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SO767995,Long,-2.3453853,Lat,52.592793,Elevation,230,ft.,,,,,,,,,,,,
Station no,RR2024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,3.08,2.66,0.91,3.36,2.17,3.09,2.46,3.02,1.29,,,,,,,,,
February,,,0.32,0.31,1.45,1.21,1.9,1.66,1.55,1.75,1.76,,,,,,,,,
March,,,3.59,1.12,1.84,1.14,1.91,2.91,2.1,1.37,1.53,,,,,,,,,
April,,,2.31,0.77,1.57,1.77,0.76,2.2,0.8,1.43,1.05,,,,,,,,,
May,,,4.02,1.12,2.03,3.55,1.36,2.09,1.87,5.14,0.94,,,,,,,,,
June,,,3.03,3.82,1.15,2.1,3.55,1.15,0.53,0.93,0.56,,,,,,,,,
July,,,2.49,1.46,0.43,1.06,1.47,2.62,0.57,0.46,1.16,,,,,,,,,
August,,,2.31,3.03,1.08,3.87,3.88,1.24,3.88,1.52,4.12,,,,,,,,,
September,,,3.8,3.14,2.33,0.16,5.02,1.97,2.37,4.19,0.86,,,,,,,,,
October,,,3.18,3.28,1.52,3.77,2.04,2.92,2.21,1.97,4.52,,,,,,,,,
November,,,0.56,2.46,1.91,2.31,2.27,0.92,0.52,2.5,2.23,,,,,,,,,
December,,,1.92,1.01,1.93,1.09,1.24,1.67,6.42,3.61,1.91,,,,,,,,,
Total,,,30.61,24.18,18.15,25.39,27.57,24.44,25.28,27.89,21.93,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Badger Rectory. Altitude on record is 300? Therefore altitude based on OS map,,,,,,,,,,,,,,,,,,,,
