"KIRKWALL, BANK OF SCOTLAND, BIGNOLD PARK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,HY 45412 10146,Long,-2.951185,Lat,58.974975,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.44,5.79,1.41,3.66,5.17,4.95,2.93,3.73,4.51,4.31,4.89,5.8,4.11,1.8,1.58,4.98,2.86,5.18,,,,,,
February,,,,,,,,2.13,3.78,2.01,0.95,4.27,0.59,4.28,3.64,3.62,2.76,4.08,2.92,3.97,1.18,3.08,2.79,4.31,,,,,,,
March,,,,,,,,2.55,2.52,0.96,2.41,2.62,3.36,2.7,2.51,3.2,1.59,2.18,3.25,2.59,3.41,1.03,1.24,2.35,,,,,,,
April,,,,,,,,5.65,1.48,1.91,1.73,1.91,3.08,2.56,3.05,2.76,0.9,0.81,1.5,1.34,2.09,1.67,0.64,3.7,,,,,,,
May,,,,,,,,1.52,1.31,1.66,2.73,3.58,1.26,0.86,2.05,0.71,1.28,0.37,3.39,0.83,1.5,1.24,2.19,2.52,,,,,,,
June,,,,,,,,3.38,1.9,2.88,1.94,2.38,0.63,1.05,1.17,1.39,1.37,2.46,4.54,1.65,1.32,0.31,1.53,1.59,,,,,,,
July,,,,,,,,1.23,2.35,1.15,1.57,2.7,2.78,1.8,3.74,3.01,4.03,1.92,2.9,4.52,4.44,3.15,3.23,3.3,,,,,,,
August,,,,,,,,0.74,1.6,5.05,5.56,0.56,2.9,2.58,4.03,4.15,3.16,2.2,2.27,2.22,4.85,3.6,2.38,3.26,2.1,,,,,,
September,,,,,,,,2.95,2.77,5.57,5.03,1.09,4.3,0.98,3.98,4.76,3.43,3.37,2.16,1.76,4.17,2.21,5.28,3.94,3.58,,,,,,
October,,,,,,,,5.89,4,7.16,5.7,4.6,3.92,2.53,6.37,7.14,4.72,3.23,7.12,1.89,3.26,3.07,6.3,3.46,4.4,,,,,,
November,,,,,,,,4.61,4.5,4.77,4.35,3.16,4.24,3.03,2.83,5.19,3.31,2.19,5.08,6.65,5.09,4.35,2.12,5.35,5.11,,,,,,
December,,,,,,,,1.43,4.12,6.69,3.49,5.67,3.02,2.43,3.85,4.35,3.7,2.15,4.11,4.13,3.77,4.05,4.69,3.22,,,,,,,
Total,,,,,,,,35.52,36.12,41.22,39.12,37.71,35.03,27.73,40.95,44.79,34.56,29.85,45.04,35.66,36.88,29.34,37.37,39.86,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
