MILLPORT (WATER WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS159558,Long,-4.935672,Lat,55.760426,Elevation,167,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5384/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,3.8,4.44,3.27,3.53,3.71,5.58,3.55,2.58,1.78,5.52,5,4.29,3.89,5.39,5.41,7.1,3.65,3.14,3.27,5.27,2.94,4.68,3.03,3.07,4.2,4.98,1.99,3.44
February,,,2.82,0.77,4.34,1.72,1.57,3.07,4.74,2.48,2.86,2.55,3.94,1.57,5.21,3.12,0.5,3.39,4.45,4.01,1.29,1.91,1.79,4.03,2.57,1.04,2.84,2.88,2.08,4
March,,,2.4,2.42,2.33,2.1,2,3.22,4.07,3.83,2.4,3.74,2.17,1.01,2.63,1.77,4.78,2.98,3.08,3.22,3.42,3.97,1.05,3.51,1.92,2.21,4.14,1.01,3.7,2.01
April,,,2.88,3.38,2.68,1.07,2.06,0.41,2.69,2.07,1.56,2.63,3.42,2.48,2.41,1.36,5.23,2.85,4.16,3.36,2.19,2.06,2.51,2.2,4.2,0.57,1.68,1.74,2.85,4.13
May,,,3.61,2.98,1.16,3.35,1.52,4.05,1.85,1.61,2.63,3.19,3.57,3.38,3.96,0.71,4.33,1.91,2.05,1.46,2.42,2.53,2.8,3.37,4.11,1.07,1.6,3.22,1.27,1.77
June,,,2.84,2.9,3.37,1.93,2.87,4.61,3.21,1.24,1.61,2.96,4.24,3.45,3.17,3.09,5.01,4.61,1.68,2.84,2.09,3.52,2.3,3.67,3.3,3.42,2.34,2.98,4.23,2.81
July,,,4.64,2.89,2.29,6.51,4.04,4.33,5.1,4.18,3.56,4.64,2.79,4.27,3.57,3.79,4.16,3.61,2.09,6.36,4.39,3.55,3.53,4.64,1.59,4,5.04,5.19,5.12,4.53
August,,,3.86,3.82,1.66,2.84,2.58,2.2,2.21,2.44,4.83,6.63,7.17,3.18,2.19,2.43,0,7.1,4.85,4.12,3.88,4.59,3.73,5.22,1.51,4.73,3.33,4.17,0.8,3.59
September,,,1.19,5.67,5.1,3.23,2.44,3.72,3.95,4.06,1.89,6.15,4.27,5.63,5.09,6.03,4.24,7.34,2.19,8.53,4.54,3.45,5.35,6.09,4.02,4.22,2.44,4.32,1.57,3.54
October,,,2.81,6.18,7.39,2.01,2.72,7.23,3.1,5.05,3.99,4.99,7.39,5.94,5,0.42,2.68,7,6.8,4.04,1.46,5.73,4.73,8.32,4.12,2.2,3.97,3.74,5.85,3.25
November,,,3.18,1.48,3.93,2.3,0.71,6.19,6.8,5.39,1.62,0.9,3.62,5.15,0.71,6.1,5.31,4.1,5.81,3.78,7.01,2.56,7.92,6.83,2.48,1.34,2.32,2.05,5.25,6.72
December,,,1.69,7.74,3.04,3.59,3.09,3.38,4.24,4.51,2.11,5.16,2.59,4.75,5.03,5.39,2.02,6.11,6.28,1.52,7.06,5.3,4.6,5.31,6.93,3.85,3.49,6,7.31,4.73
Total,,,35.72,44.67,40.56,34.18,29.31,47.99,45.51,39.44,30.84,49.06,50.17,45.1,42.86,39.6,43.67,58.1,47.09,46.38,43.02,44.44,43.25,57.87,39.78,31.72,37.39,42.28,42.02,44.52
