"DONCASTER, BURGHWALLIS RECTORY",,,,,,,,,,,,,,,,,,,,
Grid ref,SE537120,Long,-1.1899858,Lat,53.601822,Elevation,80,ft,,,,,,,,,,,,
Station no,RR2988,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.91,2.79,3.24,1.29,3.46,2.35,0.59,1.68,2.22,1.38,1.34,1.62,1.43,,,,,
February,,,1.29,2.2,1.47,1.89,0.62,0.43,1.07,1.6,0.94,0.08,2.02,2.53,3.26,,,,,
March,,,1.17,1.11,1.36,1.6,2.96,1.33,2.52,3.43,1.6,1.52,0.83,0.22,0.89,,,,,
April,,,3.56,2.27,1.41,1.65,1.89,0.9,1.89,3.12,0.6,2.17,1.09,0.42,3.25,,,,,
May,,,1.69,1.56,1.15,2.02,5.51,1.82,0.58,3.81,2.11,2.56,2.59,2.39,1.55,,,,,
June,,,3.78,2.77,0.91,2.35,0.92,0.13,2.11,0.34,2.04,2.89,3.78,1.2,3.07,,,,,
July,,,4.27,3.65,2.71,0.65,4.01,1.04,5.31,1.56,1.98,2.24,2.46,3.3,3.68,,,,,
August,,,2.17,0.99,1.44,1.21,1.62,1.79,2.11,3.84,2.64,3,2.36,1.77,1.89,,,,,
September,,,1.75,4.65,1.27,2.37,1.17,2.57,1.21,1.25,1.68,1.42,1.43,1.19,0.41,,,,,
October,,,4.47,3.51,1.05,4.78,3.74,1.91,0.82,3.32,0.82,3.16,5.07,1.57,3.99,,,,,
November,,,3.35,2.36,1.07,2.17,1.38,1.53,4.03,0.64,2.93,2.5,1.1,1.95,1.11,,,,,
December,,,4.4,0.9,1.7,0.57,4.13,1.04,1.61,1.36,0.62,3.09,0.38,2.32,1.4,,,,,
Total,,,33.81,28.76,18.78,22.55,31.41,16.84,23.85,25.95,20.18,26.01,24.45,20.48,25.93,,,,,
