ROTHESAY MOUNT STEWART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 109 596,Long,-5.017109,Lat,55.793062,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,6.67,8.63,3.33,3.15,8.21,4.88,8.09,4.22,5.47,1.67,6.13,4.76,3.81,5.95,0.83,1.73,5.89,5.65,7.4,6.6,4.65,2,3.05,2.15,3.02,5.22,2.05,5.12,5.45,1.72
February,3.15,4.52,5.59,4.63,1.49,4.76,5.42,3.51,2.92,3.69,3.81,9.88,4.76,9.17,3.39,3.63,1.49,6.67,5.7,5.2,1.2,2.47,3.66,4.79,2,3.3,6.33,2.68,4.56,2.3
March,1.21,4.88,3.57,2.32,5.71,6.31,1.61,1.9,0.24,2.91,3.57,2.98,4.64,3.81,2.02,8.09,4.76,5.71,5.9,2.9,3.2,5.13,4.74,3.98,4,2.72,2,8.14,2.56,2.32
April,5.89,0.62,4.52,2.74,2.02,1.07,1.61,3.81,3.33,2.5,3.57,5,1.19,2.14,4.29,2.02,1.19,0.83,1.4,2.5,1.75,3.42,1.42,0.9,2.66,2.68,2.42,3.8,3.76,2.42
May,2.8,2.14,1.13,3.81,5.95,1.31,3.21,4.05,5.77,2.8,0.83,6.53,3.57,2.38,0.36,4.7,3.81,1.9,1.75,5.15,4.45,1.66,0.61,3.7,0.36,3,0.19,3,2.6,3.25
June,0.95,1.37,3.21,2.5,2.86,1.55,2.32,1.79,2.5,2.32,2.14,3.81,2.14,1.61,2.38,5.48,3.51,4.64,4.85,4.9,2.75,0.05,1.35,0.53,1,2.84,0.4,3.7,2.28,2.6
July,1.7,5.3,5.71,1.96,0.83,3.33,4.52,5.48,4.17,2.2,4.05,2.86,2.98,2.98,4.52,2.44,2.74,6.21,5.9,3,1,2.44,4.56,6.33,2.72,0.27,2.23,3.05,4.8,3.42
August,1.28,2.05,4.94,4.31,5.36,3.69,5.65,4.09,8.51,8.99,3.93,8.09,4.76,1.9,5,5.06,2.74,6.67,2.05,2.15,6.15,2.04,2.86,6.58,3.7,3.93,5,2.63,4.8,7.16
September,5.95,2.02,2.86,3.27,2.74,4.17,3.69,5,1.9,4.1,2.2,2.26,2.86,3.93,2.14,8.33,6.25,2.86,4.3,5.85,4.5,5.54,2.09,6.54,4.02,4.76,2.31,2.9,3.3,3.2
October,5.27,6.07,6.19,1.67,8.21,0.77,4.76,5.77,8.99,3.03,3.45,9.82,9.05,4.52,4.76,6.61,3.75,2.68,5.85,5.7,3.25,6.9,5.62,4,4.3,6.5,8.6,3.73,4.4,5.56
November,7.02,3.42,0.95,4.28,3.81,2.97,8.63,3.51,5.59,3.39,4.52,6.79,4.52,5.95,7.38,4.11,3.93,6.19,6.3,2.85,4.1,6.78,8.3,3,7.68,7.55,3.2,4.22,7.1,5.16
December,4.2,4.14,5.71,3.81,2.02,4.64,9.88,2.79,3.27,8.57,8.33,8.57,1.79,2.14,7.62,5.47,7.02,5.95,6.5,6.75,4.7,5.48,2.92,7.5,7,4.21,5.65,7.88,7.5,2.34
Total,46.09,45.16,47.71,38.45,49.21,39.45,59.39,45.92,52.66,46.17,46.53,71.35,46.07,46.48,44.69,57.67,47.08,55.96,57.9,53.55,41.7,43.91,41.18,50,42.46,46.98,40.38,50.85,53.11,41.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd No.76-667495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved to Rothesay Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
