ROTHESAY MOUNT STUART,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 109 596,Long,-5.017109,Lat,55.793062,Elevation,100,ft,,,,,,,,,,,,
Station no,RR1753,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,4.34,,9.1,6.4,5,8.3,3.7,8.5,6.8,2.7,3,0.5,4.8,6.6,7.8,3.8,5.4,4.4,4,4.1
February,5.82,,4.8,1.2,1.5,1.5,5.2,5.9,2.9,2.2,4.2,6.1,3.9,5,4.8,5.3,2.4,2.8,2,3.5
March,1.27,,4.2,2.3,4.4,2.1,6,2.8,2.7,3.7,3.4,5,3.6,1.8,3.5,2.4,3.8,2.5,3.5,2.2
April,2.33,,1,0.5,2.5,1.4,1.7,3.3,3,2.3,4,2,2.3,2.3,1.2,3,2,2.3,2.6,2
May,3.49,,3.3,3,1.8,2,0.8,3.3,3.3,2.6,1,2.3,2.3,2.5,3.7,3,3.2,1.5,4.4,4
June,2.22,,8.6,2.2,1.5,3.2,4.5,4.5,3.1,6,2.3,4.6,4.7,2.9,1.3,1.5,1.8,1.3,3.7,1.3
July,2.22,,4.7,5.5,2.4,2.5,3.5,5,0.7,5.1,3.4,4.7,6.1,2.6,5,3.6,2.6,3,4.5,2.2
August,1.8,,4.5,3.8,5.1,4,4.7,7.6,3.5,6,1.8,3.6,4.2,5.9,3.6,2.9,2.5,3.3,4.2,6.9
September,3.17,,8.2,5,6,4.8,3.1,1.7,4.6,8.9,3.8,3.7,5.8,3.1,3.3,8.4,5.8,4.2,3.4,2
October,6.34,,4.5,6.8,9.2,6,7.2,7.5,8,2.9,0.6,2.3,4.9,6,5.7,4.7,4.3,3,2.6,4
November,3.49,,7.2,3.3,5.7,5,2.6,9.2,1.7,1.5,5.5,7.2,8.5,7.5,5.3,3.3,5.7,3.4,7.2,3.7
December,3.81,,6.2,3.5,5.5,4.4,8,8.4,2,3.7,6.8,5.9,5.4,6,7,3.6,5,4.6,5.5,5.8
Total,40.3,,66.3,43.5,50.6,45.2,51,67.7,42.3,47.6,39.8,47.9,56.5,52.2,52.2,45.5,44.5,36.3,47.6,41.7
