BUTE ,,,,,,,,,,,,,
Grid ref,NaN,Long,NaN,Lat,NaN,Elevation,NaN,ft,,,,,
Station no,RR1753,,,,,,,,,,,,
,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812
January,,,,,,,,3.49,5.65,1.58,5.36,4.03,4
February,,,,,,,,3.67,2.99,3.84,4.59,10.37,5.02
March,,,,,,,,1.98,0.55,2.99,3.75,3.13,4.83
April,,,,,,,,3.84,3.09,2.68,3.8,4.26,1.28
May,,,,,,,,3.94,5.47,2.85,0.22,6.89,3.74
June,,,,,,,,2.17,2.7,2.27,2.19,4,2.2
July,,,,,,,,5.33,3.95,2.15,4.09,3.02,3.2
August,,,,,,,,5.43,7.49,8.57,4.35,8.47,4.04
September,,,,,,,,5.1,2.27,3.44,2.06,2.58,3.03
October,,,,,,,,5.29,8.46,3.09,3.7,10.33,9.58
November,,,,,,,,3.24,4.96,3.27,4.81,7.03,4.67
December,,,,,,,,2.78,3.45,8.88,8.58,9.11,1.87
Total,,,,37.12,48.96,38.76,58.14,46.26,51.03,45.61,47.5,73.22,47.46
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Location unknown,,,,,,,,,,,,,
Unclear which sheets are for Mount Stewart,,,,,,,,,,,,,
