"BRACO, NETHER CAMBUSHINNIE",,,,,,,,,,,,
Grid ref,NN809067,Long,-3.923128,Lat,56.237867,,,,,,,
Station no,RR3198,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.44,2.10,3.94,6.68,4.04,1.77,5.80,2.59,5.23,5.44,,
February,3.41,0.25,1.44,7.04,3.56,2.70,3.31,4.01,2.79,2.05,,
March,1.85,3.58,2.52,8.31,2.59,5.61,3.17,3.76,4.62,1.48,,
April,1.94,3.44,1.97,1.19,5.97,2.70,1.50,3.02,2.26,5.29,,
May,2.10,2.47,2.08,2.18,3.73,3.34,5.28,4.57,3.22,3.41,,
June,3.27,3.79,2.82,2.33,2.25,2.00,1.63,5.75,2.38,2.49,,
July,3.68,2.13,3.22,6.32,3.41,3.04,2.30,4.36,3.49,3.34,,
August,5.46,3.82,4.65,5.57,5.71,5.75,5.46,5.79,3.85,3.47,,
September,3.29,2.68,1.26,3.56,4.88,2.14,1.15,1.56,8.42,2.08,,
October,5.84,4.50,2.62,10.42,2.75,3.62,5.57,6.61,1.80,7.76,,
November,5.59,3.18,2.99,2.79,1.62,5.42,5.08,2.60,4.36,2.20,,
December,7.59,5.84,6.04,4.02,5.10,4.27,2.52,6.08,4.40,5.28,,
Total,48.46,37.78,35.55,60.41,45.61,42.36,42.77,50.70,46.82,44.29,,
Calc annual,48.46,37.78,35.55,60.41,45.61,42.36,42.77,50.70,46.82,44.29,,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
