"HURST BANK, CHORLEY NEW ROAD, BOLTON HEETON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD678092,Long,-2.4867551,Lat,53.579161,Elevation,442,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,5,4.43,4.15,4.38,2.17,6.14,3.67,1.74,0.76,1.13,3.71,5.54,4.63,2.53,5.97,2.84,2.4,1.69,5.09,2.56,4.47,2.39,3.24,4.26,1.74,,,
February,,,3.91,1.21,1.63,1.03,4.17,5.36,2.16,3.74,2.34,6.41,2.3,2.99,2.94,3.74,1.11,1,1.32,2.68,0.64,0.3,3.31,5.28,5.36,0.54,2.74,,,
March,,,4.36,3.78,3.53,0.71,3.1,3.47,1.8,2.02,2.75,4.88,3.4,1.62,2.98,2.87,3.52,2.31,3.73,3.01,3.78,1.57,1.24,1.02,3.44,3.9,5.61,,,
April,,,2.31,1.04,1.18,0.91,2.82,2.3,1.88,2.7,1.87,1.85,5.46,2.29,1.23,1.44,2.01,1.08,1.96,3.04,1.63,2.77,1.81,0.63,2.16,2.37,2.11,,,
May,,2.13,2.35,2.17,1.8,2.19,0.88,3.56,5.86,1.9,2.62,4.01,2.62,0.88,1.81,2.31,5.97,2.55,0.71,3.86,2.47,3.19,3.96,1.98,3.64,1,0.83,,,
June,,3.36,5.95,2.73,1.72,4.4,4.35,2.46,3.62,6.54,3.99,2.6,6.84,4.71,1.18,4.92,2.28,1.04,2.72,0.64,4.1,3.03,3.96,2.16,4.11,3.24,3.36,,,
July,,5.17,5.83,5.29,4.03,6.28,3.66,7.61,1.86,5.58,5.48,5.66,5.91,3.44,5.05,2.1,4.18,1.46,7.58,4.2,3.29,3.06,3.57,3.66,5.22,4.93,2.63,,,
August,,1.85,4.46,4.94,6.75,2.86,4.99,5.94,7.49,6.61,2.87,5.95,4.56,3.19,2.1,2.18,2.77,2.35,4.25,8.28,5.78,8.43,5.35,4.48,5.61,4.83,,,,
September,,5.89,7.37,3.1,4.36,5.93,5.72,3.18,5.52,3.06,5.44,2.56,2.35,7.36,4.58,5.88,4.57,4.55,2.05,4.56,2.63,4.04,4.98,5.38,0.73,2.09,,,,
October,,5.79,5.66,5.84,5.67,6.34,3.22,5.14,4.85,2.99,3.37,3.96,4.01,6.36,2.65,7.32,6.39,2.8,2.12,3.49,4.1,4.93,6.77,4.31,4.27,4.59,,,,
November,,1.82,4.09,3.38,6.47,5.27,4.6,7.02,3.37,1.34,4.19,4.86,6.52,5.12,2.09,3.96,3.77,1.77,6.21,2.16,8.86,4.43,3.76,3.56,3.24,3.68,,,,
December,,3.31,4.66,1.42,3.84,1.39,7.13,4.43,3.29,2.56,7.13,5.51,4.88,3.67,4.81,2.72,5.29,3.28,2.7,3.99,0.75,6.99,3.57,4.83,4.18,4.62,,,,
Total,,,55.95,39.33,45.13,41.69,46.81,56.61,45.37,40.78,42.81,49.38,52.56,47.17,36.05,41.97,47.83,27.03,37.75,41.6,43.12,45.3,46.75,39.68,45.2,40.05,,,,
