"COTHELSTONE HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.38,3.18,,,,,,,,,,
February,1.30,0.20,,,,,,,,,,
March,3.86,1.68,,,,,,,,,,
April,3.92,1.01,,,,,,,,,,
May,2.78,2.22,,,,,,,,,,
June,2.22,0.52,,,,,,,,,,
July,5.21,0.47,,,,,,,,,,
August,1.37,2.07,,,,,,,,,,
September,1.70,1.91,,,,,,,,,,
October,2.72,1.23,,,,,,,,,,
November,1.94,2.29,,,,,,,,,,
December,3.50,2.78,,,,,,,,,,
Total,35.90,19.56,,,,,,,,,,
Calc annual,35.90,19.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
