COTHELSTONE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST176324,Long,-3.1764,Lat,51.0856,Elevation,430,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,4.73,1.56,5.23,2.11,3.82,0.58,1.36,1.91,3.86,4.66,2.91,5.04,2.75,1.31,0.96,3.21,3.3,1.88,3.09,3.64,4.7,0.74,2.6,0.78,6.19,4.34,2.1,1.45,4.25,4.27,0.91,5.23,1.6,1.11,1.66,4.34,1.03,4.72,6.29,0.92,3.39,1.94,1.27,4.83,6.21,5.38,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.89,3.56,1.74,1.46,4.98,4.07,3.51,1.37,4.27,3.77,3.56,1.06,0.68,1.18,2.65,1.76,0.16,3.07,6.01,4.46,0.19,0.48,5.3,2.91,3.85,5.47,0.78,1.45,1.77,4.88,1.47,3.2,1.5,2.3,0.55,4.91,1.7,2.82,1.22,3.09,4.72,6.98,1.35,1.74,3.4,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.44,5.03,2.72,1.91,1.1,1.66,2.21,1.57,1.16,2.66,1.44,2.54,2.21,4.34,5.32,1.73,3.15,0.72,0.54,2.45,2.98,3.33,4.58,1.18,1.14,1.56,2.44,1.74,3.75,2.76,4.26,1.65,0.85,3.04,4.15,0.73,2.85,4.9,4.1,5.53,0.81,4.12,3.6,1.14,5.48,3.86,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.25,3.92,3.76,4.64,2.91,2.57,1.19,3.82,1.12,1.89,3.41,3.65,1.32,3.53,4.04,4.51,1.54,1.37,0.11,1.98,3.86,0.86,3.45,1.25,3.57,1.34,2.77,1.3,2.44,0.89,2.29,1.32,5.66,2.29,1.85,2.77,1.9,0.27,3.15,1.49,1.25,0.86,2.18,3.29,2.81,3.92,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,4.09,0.13,3.36,5.48,3.5,1.42,1.17,2.18,1.65,1.18,4.61,5.23,2.74,1.34,2.85,3.5,5.51,1.41,1.56,2.21,0.71,0.21,1.27,4.5,1.71,1.74,1.1,2.73,2.27,2.1,0.13,3.43,2.41,1.69,1.07,3.74,0.99,2.32,3.86,1.32,2.47,3.07,2.39,1.39,0.51,2.78,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,4.21,1.12,1.02,1.92,6.37,1.93,3.69,3.23,2.33,2.68,1.78,0.67,0.27,3.23,0.58,3.08,1.29,2.25,1,2.29,1.26,2.62,2.34,1.5,1.35,2.67,2.09,2.7,4.83,1.02,3.91,2.4,2.04,0.19,4.09,3.71,2.09,5.43,0.8,2.62,1.77,1.91,8.78,1.39,0.86,2.22,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,5.01,0.59,3.67,1.87,3.31,4.69,2.66,5.06,2.61,2.4,0.46,2.91,0.96,5.89,2.97,3.83,2.87,2.63,6.73,3.71,3.51,1.58,1.54,0.23,0.26,2.11,1.98,1.89,2.79,3.51,0.39,0.65,2.38,1.6,1.65,2.85,0.24,3.45,0.46,5.67,4.91,1.09,2.41,4.92,3.91,5.21,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.38,3,4.49,4.95,7.96,0.53,4.28,3.38,1.35,2.26,1.21,2.25,1.35,2.42,3.75,3.29,6.79,3.42,2.01,3.53,2.65,2.72,5.07,2.63,1.07,2.44,2.09,2.98,3.62,3.37,5.66,2.03,2.61,3.01,2.31,5.46,1.58,6.3,1.84,3.32,2.59,6.44,6.06,2.94,3.13,1.37,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.65,10.33,2.26,2.35,3.6,3.73,3.08,3.73,5.04,1.63,5.89,3.34,2.96,1.48,1.95,1.62,2.37,3.42,1.91,3.3,1.55,6.08,3.56,0.82,2.88,0.72,1.83,2.46,4.86,2.25,1.63,0.66,0.61,3.56,2.89,0.48,1.66,0.98,3.04,2.72,1.67,2.84,1.86,8.07,2,1.7,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,7.2,2.16,2.9,5.79,1.6,7.44,2.78,8.06,3.95,1.03,5.66,5.36,3.72,1.06,5.96,1.81,7.38,5.14,4.41,4.49,5.01,3.65,1.05,5.48,2.73,3.88,3.03,2.71,7.59,1.29,2.04,4.45,6.99,4.06,5.23,6.64,3.18,4.98,4.58,4.35,4.74,5.12,5.01,3.13,4.05,2.72,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,6.16,4.52,6.78,4.65,0.99,3.69,3.41,5.79,5.03,1.74,4.12,3.32,4.42,7.55,1.35,3.94,3.91,2.82,2.4,6.26,6.92,1.54,1.46,4.55,2.97,4.6,1.86,3.6,2.4,1.72,3.42,5.53,3.27,1.61,1.38,5.87,3.6,2.74,3.36,4.03,2.29,4.49,1.45,2.7,2.72,1.94,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,0.71,7.34,2.09,2.27,1.17,3.94,3.23,4.44,1.3,3.66,2.01,5.47,2.6,2.89,2.49,2.84,4.15,1.47,4.24,2.72,4.52,6.72,5.2,3.64,3.12,5.76,6.22,2.2,3.56,2.16,1.06,2.45,5.97,3.19,4.87,5.8,8.06,5.11,2.86,8.09,7.52,4.38,1.02,3.91,5.94,3.5,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
