"GODALMING (MUNSTEAD ROUGH)",,,,,,,,,,,,
Grid ref,SU990426,Long,-0.585218,Lat,51.174079,,,,,,,
Station no,184/4/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.48,2.30,,3.23,3.18,,
February,,,,,,0.31,4.41,,0.09,2.77,,
March,,,,,,0.93,1.75,2.71,3.05,1.53,,
April,,,,,,1.21,0.43,1.00,2.56,1.00,,
May,,,,,,0.38,1.50,3.16,0.89,1.52,,
June,,,,,,2.50,1.15,4.46,1.10,1.72,,
July,,,,,,4.68,4.43,1.29,2.02,3.30,,
August,,,,,,3.54,2.91,4.87,2.58,4.00,,
September,,,,,,4.02,2.89,4.39,0.23,3.53,,
October,,,,,,1.79,1.67,2.82,2.70,7.70,,
November,,,,,,0.99,3.04,2.57,4.51,5.23,,
December,,,,,,5.31,2.60,3.53,6.10,3.91,,
Total,,,,,,30.14,29.08,,29.06,39.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,30.14,29.08,30.80,29.06,39.39,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,-0.00,0.00,,
