GODALMING-MUNSTEAD-ROUGH,,,,,,,,,,
Grid ref,SU990426,Long,-0.585218,Lat,51.174079,Elevation,410,ft,,
Station no,0184/4/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.48,2.3,,3.23,3.18
February,,,,,,0.31,4.41,,0.09,2.77
March,,,,,,0.93,1.75,2.71,3.05,1.53
April,,,,,,1.21,0.43,1,2.56,1
May,,,,,,0.38,1.5,3.16,0.89,1.52
June,,,,,,2.5,1.15,4.46,1.1,1.72
July,,,,,,4.68,4.43,1.29,2.02,3.3
August,,,,,,3.54,2.91,4.87,2.58,4
September,,,,,,4.02,2.89,4.39,0.23,3.53
October,,,,,,1.79,1.67,2.82,2.7,7.7
November,,,,,,0.99,3.04,2.57,4.51,5.23
December,,,,,,5.31,2.6,3.53,6.1,3.91
Total,,,,,,30.14,29.08,,29.06,39.39
,,,,,,,,,,
SRC_ID 6404,,,,,,,,,,
1956-1986,,,,,,,,,,
