JURA (ARDLUSSA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR651879,Long,-5.77141,Lat,56.026239,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5444/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.42,6.29,5.13,3.55,7.15,8.69,3.14,2.47,0.64,7.63,5.44,7.06,6.74,6.23,4.37,6.86,7.35,5.4,6.32,5.91,4.38,7.02,3.33,5.15,8.28,5.47,1.49,3.69
February,,,5.31,1.35,6.25,2.55,5.91,3.89,6.72,2.51,3.55,3.26,5.44,2.11,6.36,5.04,0.01,5.8,5.99,5.3,2.67,3.64,2.83,3.7,2.62,2.57,3.12,3.48,1.75,4.04
March,,,2.67,3.14,2.93,3.81,1.18,5.47,5.35,4.04,3.21,2.58,3.01,2.05,3.56,2.75,2.44,4,4.51,4.21,3.45,4.05,2.27,4.46,1.14,2.94,5.5,1.03,3.57,0.98
April,,,3.79,2.81,4.23,1.93,2.66,0.91,1.84,3.16,1.86,1.55,4.25,3.2,1.99,2.28,5.34,3.7,7.14,4.22,2.85,2.6,2.31,2.33,4.1,2.27,2.09,2.06,4.33,3.68
May,,,3.17,3.72,1.07,3.92,3.33,3.17,2.09,2.47,1.8,3.14,3.83,4.05,3.15,0.81,3.37,1.43,2.54,2.21,0.95,1.37,3.21,3.25,2.55,3.8,2.1,3.77,1.13,2.77
June,,,3.37,2.59,3.37,2.8,4.19,5.96,2.54,1.54,1.66,3.49,4.23,4.13,4,3.38,4.43,4.5,1.54,3.21,2.17,3.98,1.51,4.21,4.72,3.33,3.75,3.56,3.74,2.02
July,,,4.26,2.95,3.29,3.4,6.68,5.18,6.44,4.14,3.84,4.65,3.04,3.03,5.04,4.87,5.15,4.95,2.12,4.83,4.92,3.32,5.34,4.39,0.6,6.41,5.47,4.65,8.36,3.62
August,,,5.3,5.28,4.47,3.98,3.49,3.63,2.17,3.19,4.45,5.71,7.24,4.84,1.73,4.5,0.03,4.65,5.19,4.91,3.94,5.04,5.01,3.4,1.61,6.21,4.62,5.64,1.56,3.75
September,,,1.15,8.33,7.76,4,4.78,5.27,3.71,5.99,2.9,8.63,5.51,5.91,6.46,8.36,5.55,10.09,2.89,11.77,3.24,4.24,6.89,7.89,6.63,5.14,3.34,4.29,2.51,4.02
October,,,5.32,11.33,13.56,7.38,3.2,11.04,2.1,7.22,5.27,7.56,8.74,6.95,5.72,0.65,2.52,9.92,5.61,6.84,3.56,6.35,3.44,7.04,6.03,4.79,6.22,5.4,5.52,2.12
November,,,3.76,2.68,7.63,5.32,1.94,11.09,8.64,8,4.81,2.03,4.85,8.47,1.31,5.2,8.81,4.23,10.91,4.87,7.88,3.02,7.96,7.56,2.19,3.87,2.96,3.3,7.96,7.78
December,,,3.48,5.48,4.28,8.6,2.78,4.84,4.76,8.69,3.61,7.51,4.15,6.36,5.68,7.37,5.28,7.75,10.43,3.53,10.33,6.53,5.53,5.85,7.8,5.34,5.32,5.53,8.42,6.97
Total,,,46,55.95,63.97,51.24,47.29,69.14,49.5,53.42,37.6,57.74,59.73,58.16,51.74,51.44,47.3,67.88,66.22,61.3,52.28,50.05,50.68,61.1,43.32,51.82,52.77,48.18,50.34,45.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Au Sep Apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5444/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,678670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
