MARKET-DRAYTON-BUNTINGSDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ654325,Long,-2.51568,Lat,52.888832,Elevation,276,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,1.89,3.78,1.55,3.61,1.87,1.98,0.47,0.38,2.58,3.61,3,1.53,3.6,2.81,1.04,0.37,3.23,1.76,2.97,1.71,2.31,3.8,1.28,1.62,1.12,3.89,3.04,1.73,1.16,2.19,2.96,0.91,4.49,1.62,1.51,1.74,2.19,0.6,3.78,,,,,,,
February,,,,,1.91,1.32,1.95,2.01,1.32,3.3,2.69,3.61,2.36,1.85,1.7,2.29,0.83,0.49,0.57,1.55,0.67,0.11,1.56,2.6,2.21,0.2,0.94,2.17,1.75,1.46,3.1,1.58,1.33,1.34,4.14,0.8,2.35,1.42,1.95,0.66,2.49,1.67,1.54,,,,,,,
March,,,,,1.03,0.57,2.54,2.59,0.88,1,1.39,2.31,1.75,0.84,1.97,1.39,2.11,1.78,2.08,2.33,1.37,1.02,0.9,0.36,1.34,2.85,2.78,2.58,0.82,1,1.16,2.46,1.82,4.19,1.73,4.02,2.03,1.4,2.86,2.69,0.78,1.66,4.01,,,,,,,
April,,,,,1.15,0.5,3.5,2.06,1.8,2.3,1.49,0.66,3.07,0.8,1.6,2.29,1.21,0.81,1.11,2.99,1.08,2.22,1.24,0.74,1.69,2.21,1.09,2.22,1.27,2.54,1.11,2.3,2.26,1.69,1.18,1.65,1.45,2.07,2.3,2.38,2.92,0.7,2.6,,,,,,,
May,,,,,1.67,2.37,0.6,2.56,6.13,2.26,2.34,1.83,1.85,1.47,1.16,1.78,6.77,2.03,0.76,3.03,2.28,4.25,3.38,2.08,2.6,1.62,0.61,1.36,3.19,2.73,1.55,1.85,3.17,2.25,2.4,0.8,2.06,3.29,2.34,0.85,2.46,0.92,,,,,,,,
June,,,,,0.5,1.46,2.45,1.67,4,5.26,3.24,2.45,4.87,2.61,2.14,3.78,1.33,1.69,2.43,0.58,2.13,3.66,2.66,1.9,2.52,0.74,2.49,2.6,1.88,2.33,2.87,2.34,1.93,1.48,0.8,3.16,1.97,3.79,2.01,3.19,1.96,2.4,,,,,,,,
July,,,,,0.54,3.41,2.6,2.22,0.73,3.33,6.88,2.02,4.49,1.99,2.07,0.49,2.47,1.07,4.44,2.33,2.5,2.27,2.39,3.47,2.43,3.32,2.61,0.73,1.13,2,2.47,3.18,1.73,2.75,2.41,1.52,0.83,3.59,3.48,4.39,3.04,0.37,,,,,,,,
August,,,,,2.86,2.83,3,5.2,5.15,6.44,1.68,3.43,2.41,1.63,1.79,1.38,1.32,2.02,3.13,5.09,3.61,4.82,2.38,1.66,2.84,2.55,2.18,2.61,4.17,1.21,5.01,3.7,2.71,4.22,4.85,5.72,1.84,2.9,3.46,2.46,4.1,1.97,,,,,,,,
September,,,,,2.79,3.41,4.18,2.58,2.64,2.58,2.35,1.75,1.72,5.58,2.19,3.61,2.43,2.39,1.02,2.56,0.9,2.88,2.7,1.87,0.32,0.53,4.13,2.69,0.7,2.68,0.96,1.12,1.26,4.54,1.38,1.53,1.29,1.03,2.64,2.69,0.59,2.13,,,,,,,,
October,,,,,3.28,4.52,2.59,3.6,3.22,1.31,4.9,2.53,4.53,3.02,1.06,4.57,4.71,3.73,0.91,2.64,1.76,4.15,4.4,1.86,2.82,3.56,2.95,1.19,3.47,3.06,3.88,2.98,3.14,6.54,1.17,1.67,6.17,4.89,2.09,4.33,3.05,2.7,,,,,,,,
November,,,,,3.87,3.46,4.13,2.65,3.02,0.93,2.6,2.86,4.23,3.14,1.9,3.44,2.1,1.38,3.45,1.16,6.04,2.26,2.28,1.21,2.22,2.8,1.56,2.53,1.99,1.54,2.52,2.17,1.86,3.11,1.56,3.1,2.95,2.53,2.17,1,5.47,2.63,,,,,,,,
December,,,,,2.44,1.07,4.85,2.64,2.15,0.99,4.46,2.94,3.59,0.88,1.93,1.03,3.54,2.04,2.02,1.85,0.95,3.28,2.39,3.36,2.38,2.1,3.77,2.57,2.47,2.45,3.71,3.81,2.26,1.74,0.8,0.6,3.21,2.53,2.56,4.33,4.29,4.53,,,,,,,,
Total,,,,,23.93,28.7,33.94,33.39,32.91,31.68,34.49,26.77,37.45,27.42,22.51,27.58,32.42,22.24,22.96,26.48,26.52,32.68,29.25,22.82,25.68,26.28,26.39,24.87,23.96,26.89,31.38,29.22,24.63,36.04,25.38,25.48,30.64,31.06,29.37,30.71,33.34,22.28,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Buntingsdale Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
