"MARKET DRAYTON BUNTINGSDALE",,,,,,,,,,,,
Grid ref,SJ654325,Long,-2.515680,Lat,52.888832,,,,,,,
Station no,RR1221,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.04,1.73,1.16,2.19,2.96,0.91,4.49,1.62,1.51,1.74,,
February,3.10,1.58,1.33,1.34,4.14,0.80,2.35,1.42,1.95,0.66,,
March,1.16,2.46,1.82,4.19,1.73,4.02,2.03,1.40,2.86,2.69,,
April,1.11,2.30,2.26,1.69,1.18,1.65,1.45,2.07,2.30,2.38,,
May,1.55,1.85,3.17,2.25,2.40,0.80,2.06,3.29,2.34,0.85,,
June,2.87,2.34,1.93,1.48,0.80,3.16,1.97,3.79,2.01,3.19,,
July,2.47,3.18,1.73,2.75,2.41,1.52,0.83,3.59,3.48,4.39,,
August,5.01,3.70,2.71,4.22,4.85,5.72,1.84,2.90,3.46,2.46,,
September,0.96,1.12,1.26,4.54,1.38,1.53,1.29,1.03,2.64,2.69,,
October,3.88,2.98,3.14,6.54,1.17,1.67,6.17,4.89,2.09,4.33,,
November,2.52,2.17,1.86,3.11,1.56,3.10,2.95,2.53,2.17,1.00,,
December,3.71,3.81,2.26,1.74,0.80,0.60,3.21,2.53,2.56,4.33,,
Total,31.38,29.22,24.63,36.04,25.38,25.48,30.64,31.06,29.37,30.71,,
Calc annual,31.38,29.22,24.63,36.04,25.38,25.48,30.64,31.06,29.37,30.71,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
