PARKSTONE-THE-LAURELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ028927,Long,-1.9612,Lat,50.73445,Elevation,115,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,4.83,1.35,3.71,2.07,2.57,2.69,2.67,0.9,5.13,5.89,3.53,6.22,3.96,4.82,4.3,7.83,,,,,,,
February,,,,,,,,,2.3,1.12,0.81,1.79,0.08,4.27,0.03,3.42,3.13,6.22,0.78,1.64,3.97,3.51,0.5,1.24,,,,,,,
March,,,,,,,,,2.61,0.13,0.99,1.04,1.78,3.41,3.06,0.98,3.37,3.84,0.26,1.12,3.33,3.66,2.99,1,,,,,,,
April,,,,,,,,,1.82,0.93,1.76,2.14,2.53,1.25,1.71,3.45,1.59,2.4,0,1.99,1.19,2.16,2.14,0.91,,,,,,,
May,,,,,,,,,1.25,1.87,2.1,3.09,3.1,1.37,0.83,0.85,0.75,3.09,1.61,0.98,1.2,2.14,3.97,3.42,,,,,,,
June,,,,,,,,,2.21,1.41,0.41,2.21,2.43,1.01,1.53,3.74,2.09,0.37,1,1.88,0.18,1.54,0.42,1.17,,,,,,,
July,,,,,,,,,1.5,1.29,1.35,4.08,3.04,1.69,0.34,0.37,3.9,1.95,1.96,4.1,3.5,2.1,1.72,2.47,,,,,,,
August,,,,,,,,,2.3,1.12,2.79,2.99,0.6,1,3.38,2.92,0.16,2.35,2.03,3.7,0.06,3.79,3.81,1.8,,,,,,,
September,,,,,,,,,2.16,0.42,2.87,1.15,3.38,1.95,2.33,3.83,2.79,2.44,1.92,2.75,1.55,0.92,2.93,2.26,,,,,,,
October,,,,,,,,,7.61,4.22,2.26,0.58,5.55,1.41,1.41,6.46,1.58,6.17,3.62,6.01,4.76,0.93,4.59,4.97,,,,,,,
November,,,,,,,,,3.14,8.21,5.71,4.26,2.18,0.96,2.34,7.66,3.49,1.62,5.65,6.39,8.48,2.17,1.68,2.23,,,,,,,
December,,,,,,,,,2.95,6.73,3.48,1.19,1.23,1.21,8.81,5.22,3.92,4.38,4.11,1.8,2.65,2.58,4.55,3.68,,,,,,,
Total,,,,,,,,,34.68,28.8,28.24,26.59,28.47,22.22,28.44,39.8,31.9,40.72,26.47,38.58,34.83,30.32,33.6,32.98,,,,,,,
