"KILMANY, MOUNTQUHANIE HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1415,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.80,0.70,,,,,,,,,,
February,2.41,1.50,,,,,,,,,,
March,0.90,1.70,,,,,,,,,,
April,2.95,0.30,,,,,,,,,,
May,1.10,0.70,,,,,,,,,,
June,1.60,1.20,,,,,,,,,,
July,4.50,1.30,,,,,,,,,,
August,7.50,0.10,,,,,,,,,,
September,1.03,0.40,,,,,,,,,,
October,2.03,1.00,,,,,,,,,,
November,3.12,3.20,,,,,,,,,,
December,2.55,2.40,,,,,,,,,,
Total,31.49,14.50,,,,,,,,,,
Calc annual,31.49,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
