"KILMANY MOUNTQUHANIE",,,,,,,,,,,,
Grid ref,NO347212,Long,-3.058962,Lat,56.378562,,,,,,,
Station no,RR1415,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.60,4.80,1.20,4.50,1.70,,2.00,0.49,2.00,2.60,,
February,2.51,1.40,1.10,4.90,5.80,,0.45,1.08,0.93,1.10,,
March,1.52,,0.80,3.00,1.80,,0.50,1.80,4.20,5.00,,
April,1.46,,1.30,0.50,2.30,,0.14,1.84,0.90,3.60,,
May,1.65,2.30,1.70,1.00,1.80,,6.00,4.50,1.80,3.00,,
June,1.80,2.70,2.20,1.90,0.40,,1.40,3.80,0.60,0.80,,
July,3.81,3.00,2.40,4.50,1.20,,1.10,1.79,2.86,2.60,,
August,5.38,0.60,2.00,5.50,5.20,,4.61,3.51,2.82,2.25,,
September,1.78,2.20,1.20,2.60,2.80,,1.10,1.30,4.47,1.70,,
October,3.53,2.30,1.40,6.00,0.60,,3.37,6.50,2.70,3.80,,
November,4.44,2.00,2.90,1.20,0.60,,3.54,2.10,2.18,0.50,,
December,4.20,3.90,3.80,2.40,2.20,,1.60,4.60,0.86,3.09,,
Total,35.68,,22.00,38.00,26.40,,25.81,33.31,26.32,30.04,,
Calc annual,35.68,25.20,22.00,38.00,26.40,0.00,25.81,33.31,26.32,30.04,,
Difference,-0.00,NaN,0.00,-0.00,-0.00,NaN,-0.00,0.00,0.00,0.00,,
