KILMANY MOUNTQUHANIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO347212,Long,-3.058962,Lat,56.378562,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.8,3.5,2.1,4.2,1.1,4.9,1.3,0.5,0.5,0.6,1.6,2.7,3.3,1.2,2.2,1.9,1.2,0.9,3.1,0.8,1.4,1.2,3,1.8,0.5,1.5,0.7,,3.6,4.8,1.2,4.5,1.7,,2,0.49,2,2.6,1.8,0.7,,,,,,,,
February,,,3.5,0.5,0.5,1.3,4,1.4,1,3.1,2.7,3.1,2,2.8,1,2.4,1.1,0.1,0.2,1.1,1.5,0,2.1,3,4.8,0.4,1,1.7,0.3,,2.51,1.4,1.1,4.9,5.8,,0.45,1.08,0.93,1.1,2.41,1.5,,,,,,,,
March,,,2.4,1.7,1.2,1.7,2.7,2,0.6,1.7,2.3,2,2.4,1.3,2.8,2,2.1,0.7,2.3,1,2.6,3.2,0.9,0.7,1.1,2.6,1,3.3,0.3,,1.52,,0.8,3,1.8,,0.5,1.8,4.2,5,0.9,1.7,,,,,,,,
April,,,1.6,0,0.9,0.5,3.5,,2.2,0.4,2.5,0.5,4.6,1.4,1.3,3.4,0.7,2.2,1.5,4.8,0.1,1.4,0.7,0.9,1.4,1,0.7,1.4,3,,1.46,,1.3,0.5,2.3,,0.14,1.84,0.9,3.6,2.95,0.3,,,,,,,,
May,,,3.6,2.9,2.4,0.2,0.1,,3.5,2.8,0.1,1.5,2.1,0.7,1.9,4.4,3.2,0.3,1.6,2.1,2.1,2.1,2.8,0.8,3.5,0.5,0.2,0.7,2,,1.65,2.3,1.7,1,1.8,,6,4.5,1.8,3,1.1,0.7,,,,,,,,
June,,,4.5,1.7,1.4,1.7,2.4,4.1,2.9,4.1,1.7,2.7,2.5,2,1,0.4,0.5,0.2,2.5,0.8,2.9,1.1,3.3,1.5,2.4,1.4,2.4,6.7,1.7,,1.8,2.7,2.2,1.9,0.4,,1.4,3.8,0.6,0.8,1.6,1.2,,,,,,,,
July,,,3.3,3.8,2.8,1.3,1.7,5.9,0.7,3.1,0.7,2.5,4.6,5.7,3.8,0.5,4,1.6,5.4,2.4,3,2.7,1.3,2.8,2.7,3.8,4.2,1.2,0.9,,3.81,3,2.4,4.5,1.2,,1.1,1.79,2.86,2.6,4.5,1.3,,,,,,,,
August,,,3.6,3,5.7,1.8,3,7.6,3.9,4.7,0.4,5.2,1.2,3.6,4.1,2.1,0.8,2.1,1.8,9.9,3.3,5.3,5.4,3.2,5.6,4.5,1.5,3.5,3.6,,5.38,0.6,2,5.5,5.2,,4.61,3.51,2.82,2.25,7.5,0.1,,,,,,,,
September,,,4.9,3.7,2,2.4,4.3,3.1,3,2.6,2.8,3.8,2,3.1,2.2,3.2,2.5,4.9,0.2,0.5,3,2.3,1.3,2,0.1,0.2,4.5,1.3,2.1,,1.78,2.2,1.2,2.6,2.8,,1.1,1.3,4.47,1.7,1.03,0.4,,,,,,,,
October,,,4.4,3,1.8,5.1,4.2,4,1.8,0.2,1.7,3.8,3.4,2.1,1.6,1.2,3.7,0.8,0.9,2.6,2.3,3.5,4.3,2.1,4,1.2,3,1.6,6.2,,3.53,2.3,1.4,6,0.6,,3.37,6.5,2.7,3.8,2.03,1,,,,,,,,
November,,,5.4,1.7,3.4,4.7,5.6,2.9,2,1.5,3.5,3.8,3.9,3,1.4,1.4,1.5,4.2,5.7,0.9,4.6,3.2,1.8,1.1,1.7,2,0.8,1.7,6.3,,4.44,2,2.9,1.2,0.6,,3.54,2.1,2.18,0.5,3.12,3.2,,,,,,,,
December,,,5.5,1.9,2,2,9.6,1.8,2.1,0.5,2,1.8,4.5,1.5,2.5,0.9,2.1,1.1,2.3,1.1,2.3,4.5,0.8,2.3,1.8,2.7,5.9,3.5,1.3,,4.2,3.9,3.8,2.4,2.2,,1.6,4.6,0.86,3.09,2.55,2.4,,,,,,,,
Total,23.94,28.04,46.5,27.4,26.2,26.9,42.2,,25,25.2,20.9,31.3,34.8,29.9,26.9,23.1,24.4,20.1,25.6,28.1,30.8,30.1,26.1,21.6,32.1,22.1,25.7,28.1,28.4,,35.68,,22,38,26.4,,25.81,33.31,26.32,30.04,31.49,14.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877 Deletion estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
