TORQUAY-CHAPEL-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SX903651,Long,-3.54726,Lat,50.47543,Elevation,240,ft,,,,,,,,,,,,
Station no,RR8934,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,4.26,4.78,0.69,2.7,0.95,5.26,5.73,,,,,,,,,
February,,,,,1.65,0.05,0.52,3.17,1.97,5.41,6.08,,,,,,,,,
March,,,,,1.42,3.06,3,5.13,1.91,0.66,1.85,,,,,,,,,
April,,,,,2.41,2.23,0.12,3.97,1.32,3.06,1.11,,,,,,,,,
May,,,,,2.66,0.66,0.03,1.56,3.29,1.93,1.75,,,,,,,,,
June,,,,,2.56,1.21,1.89,3.47,1.44,1.28,3.29,,,,,,,,,
July,,,,,4.6,2.83,1.78,0.77,0.29,0.79,0.72,,,,,,,,,
August,,,,,3.69,2.78,1.22,3.38,2.22,3.17,1.64,,,,,,,,,
September,,,,,3.65,0.39,5.34,3.2,0.74,2.18,1.06,,,,,,,,,
October,,,,,8.07,4.05,3.87,1.24,6.28,2.13,1.64,,,,,,,,,
November,,,,,6.64,6.8,0.77,1.34,3.71,4.2,3.13,,,,,,,,,
December,,,,,2.23,5.56,7.33,6.01,3.76,4.89,5.42,,,,,,,,,
Total,,,,,43.84,34.4,26.56,35.94,27.88,34.96,33.42,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1897 The foregoing obs are the result of two 5in Snowdon gauges one being fixed on grass 1ft above ground and one on the Tower,,,,,,,,,,,,,,,,,,,,
1897 Correct figures received later I assume this is why values have changed New values kept,,,,,,,,,,,,,,,,,,,,
Mention of a tower means the gauges could have been near Chapel Hill Chapel as this had an interesting design,,,,,,,,,,,,,,,,,,,,
Chapel Hill is the highest ground in the area but is not as high as 275ft as marked on the sheets,,,,,,,,,,,,,,,,,,,,
1901 Gauge moved,,,,,,,,,,,,,,,,,,,,
