LILBOURNE-VICARAGE,,,,,,,,,,
Grid ref,SP560773,Long,-1.1785304,Lat,52.390869,Elevation,330,ft,,
Station no,RR8249,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.1,,,,,,,,,
February,2.23,,,,,,,,,
March,0.75,,,,,,,,,
April,1.63,,,,,,,,,
May,2.36,,,,,,,,,
June,1.06,,,,,,,,,
July,2.32,,,,,,,,,
August,3.1,,,,,,,,,
September,0.67,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Second gauge at same site (this one is a Snowdon whereas other is a Glaisher type),,,,,,,,,,
