"PENISTONE",,,,,,,,,,,,
Grid ref,SE251033,Long,-1.622854,Lat,53.525769,,,,,,,
Station no,RR49,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.14,2.17,1.99,2.86,3.50,0.50,3.92,0.85,2.38,1.96,,
February,3.88,1.23,1.37,3.22,5.68,1.50,2.61,2.19,2.00,1.36,,
March,0.37,3.42,1.45,4.31,2.43,2.77,2.42,2.39,3.28,3.65,,
April,1.33,1.82,2.90,1.72,2.05,2.25,0.72,2.49,1.88,1.62,,
May,0.58,1.44,3.37,3.90,2.84,0.70,1.90,4.88,2.35,1.64,,
June,1.91,0.98,1.88,1.75,0.84,2.07,3.84,3.84,2.05,4.79,,
July,2.01,4.14,2.42,2.51,1.73,1.36,1.68,1.62,2.34,3.65,,
August,3.05,1.00,3.79,3.33,3.68,3.13,1.91,1.76,2.37,1.68,,
September,0.52,0.69,2.38,4.88,0.69,1.21,0.61,0.57,2.03,2.30,,
October,3.72,1.68,4.16,8.75,0.68,2.07,6.46,6.39,1.20,3.26,,
November,2.90,4.36,2.57,1.42,1.83,4.68,4.04,3.04,1.08,0.83,,
December,4.86,5.46,2.80,1.84,2.08,0.60,2.55,3.52,1.10,4.83,,
Total,29.27,28.39,31.08,40.49,28.03,22.84,32.66,33.54,24.06,31.57,,
Calc annual,29.27,28.39,31.08,40.49,28.03,22.84,32.66,33.54,24.06,31.57,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
