PENISTONE RAILWAY STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE251033,Long,-1.622854,Lat,53.525769,Elevation,717,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,
January,2.02,1.33,3.61,4.24,,1.3,,,,1.62,4.21,0.61,1.59,6.25,0.8,1.59,4.31,2.01,3.11,2.96,3.52,1.74,5.21,2.87,1.63,3.95,0.83,4.7,3.34,0.79,0.1,0.34,3.18,6.11,8.31,0.99,4.62,2.08,1.02,1.69,4.04,2.2,1.73,0.87,3.08,4.2,0.89,2.59,1.05,4.41,4.14,2.17,1.99,2.86,3.5,0.5,3.92,0.85,2.38,1.96,3.37,1.88,3.66,2.82,2.15,3.84,3.01,2.36,2.24,3.8,3.83,1.77,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.72,1.59,1.99,1.26,0.46,0.5,,,,1.9,1.86,4.17,0.63,0.7,2,1.66,3.85,2.34,1.97,3.48,2.15,2.76,3.58,1.1,1.53,0.52,3.37,2.25,1.37,2.75,2.97,4.34,2.35,2.81,3.12,3.18,0.48,0.76,1.31,1.75,0.99,0.11,2.71,5.44,6.78,0.43,1.12,3.22,2.63,1.39,3.88,1.23,1.37,3.22,5.68,1.5,2.61,2.19,2,1.36,3.02,3.21,2.11,1.23,2.34,4,5.41,0.48,3.7,2.25,3.18,0.01,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.13,1,,,0.89,1.17,,,,3.03,3.3,5.28,4.73,1.17,1.57,0.72,1.48,2.65,3.36,1.76,2.21,1.42,2.48,2.78,3.23,0.63,4.74,3.43,1.41,1.45,3.19,4.74,2.17,1.02,1.71,2.37,2.58,2.08,3.17,3.48,2.6,1.62,1.22,0.28,2.71,2.12,4.52,4.4,1.92,1.38,0.37,3.42,1.45,4.31,2.43,2.77,2.42,2.39,3.28,3.65,0.51,1.71,2.86,6.14,3.07,1.74,5.02,1.72,0.85,5.26,1.47,1.49,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.69,1.97,0.73,,0.02,0.34,,,,5.27,1.39,1.17,1.67,0.96,0.94,1.7,1.7,3.63,1.94,1.92,0.88,3.07,3.82,0.15,1.24,0.84,1.92,3.97,2.3,2.97,1.8,0.91,4.44,3.72,1.69,2.39,2.54,0.83,3.41,4.23,1.1,2.82,1.26,0.46,4.46,2.51,1.65,2.47,2.88,2.26,1.33,1.82,2.9,1.72,2.05,2.25,0.72,2.49,1.88,1.62,2.29,1.25,0.59,4.49,1.07,1.19,1.57,2.34,2.11,1.55,3.6,0.8,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.8,0.65,0.53,,2.7,1.27,,,,1.08,2.83,0.61,3.64,0.97,3.08,3.27,1.75,2,0.63,5.62,1.62,1.31,2.23,2.76,1.53,1.56,1,4.48,3.79,2.29,2.67,2.67,1.3,1.78,1.99,2.72,7.18,2.49,0.76,3.47,3.35,3.85,3.49,2.27,1.9,0.76,0.6,0.84,3.75,2.72,0.58,1.44,3.37,3.9,2.84,0.7,1.9,4.88,2.35,1.64,2.97,0.96,3.62,2.63,1.36,1.7,2.45,2,2.68,1.56,2.96,0.9,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.56,3.2,2.49,,1.74,1.18,,,,3.36,4.05,2.3,2.13,6.44,0.95,1,5.52,2.53,0.24,1.07,1.93,4.42,4.29,2.3,0.19,3.43,3.1,1.7,3.3,5.06,4.56,1.57,4.55,4.8,1.32,3.29,0.85,0.45,2.36,0.43,2.61,2.59,4.02,1.13,4.03,3.62,3.47,3.22,1.98,1.82,1.91,0.98,1.88,1.75,0.84,2.07,3.84,3.84,2.05,4.79,2.39,3.04,3.7,1.04,3.5,0.73,1.9,1.56,1.26,0.53,2.89,0.12,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.9,2.65,,3.17,2,1.72,,,,0.86,1.62,3.46,2.01,1.75,0.43,1.74,4.72,3.95,0.45,0.53,0.55,2.63,8.31,1.44,1.32,4.57,1.08,2.51,1.35,4.67,5.72,1.78,3.47,3.74,3.48,0.83,5.31,0.89,4.89,2.29,2.18,1.98,3.11,4.69,3.48,5.72,1.06,0.94,0.57,2.37,2.01,4.14,2.42,2.51,1.73,1.36,1.68,1.62,2.34,3.65,2.81,0.09,6.1,1.45,1.54,4.33,1.54,0.9,3.06,3.24,4.97,0.74,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.08,2.18,,0.35,3.3,1.62,,,,6.18,3.75,0.53,2.07,2.56,1.4,3.98,4.12,2.1,2.18,1.54,0.98,1.83,2.21,2.22,3.73,3.05,1.58,4.58,7.29,4.43,1.76,4.13,2.12,2.22,1.51,1.42,2.03,1.6,2.37,2.48,3.79,4.35,2.59,2.9,3.39,2.05,1.99,2.79,3.79,0.98,3.05,1,3.79,3.33,3.68,3.13,1.91,1.76,2.37,1.68,3.12,2.15,6.48,1.21,1.31,3.69,1.17,3.98,1.23,3,1.32,5.01,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.97,0.78,,3.09,1.5,0.87,,,,3.15,1.27,2.16,3.16,3.36,2.81,0.12,4.97,1.17,3.63,5.34,2.66,6.34,4.97,2.63,1.61,2.92,5.24,4.7,2.61,1.73,5.61,3.19,2.56,7.01,1.65,3.2,1.45,2.7,0.97,1.76,1.37,2.97,2.98,1.89,0.69,0.54,6.89,2.75,0.74,4.15,0.52,0.69,2.38,4.88,0.69,1.21,0.61,0.57,2.03,2.3,0.06,2.13,1.6,2.55,2.55,0.73,0.74,1.31,8,1.93,0.98,0.74,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.24,1.47,,4.66,2.1,2.87,,,,4.82,2.15,1.37,5.07,4.38,5.93,6.76,2.43,2.66,3.3,2.05,8.66,3.13,6.93,4.19,3.9,5.56,1.38,3.11,3.1,1.18,8.47,5.61,4.38,5.25,2.27,7.71,5.26,3.03,0.98,6.07,1.48,4.05,7.9,2.03,6.39,4.52,4.26,1.43,4.91,2.86,3.72,1.68,4.16,8.75,0.68,2.07,6.46,6.39,1.2,3.26,2.45,3.15,3,4.8,3,1.64,4.88,3.24,1.99,3.51,2.8,1.4,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
