TERRINGTON-ST-CLEMENT (MIDDLETON MOAT FARM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF547187,Long,0.290271,Lat,52.74379,Elevation,13,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1471/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.6,1.08,2.08,3.01,3.42,2.45,3.49,1.46,2.22,2.37,4.1,2.3,2.46,1.4,,,,,2.51,1.68,1.04,1.33,1.89,3.76,1.5,2.35,3.09,3.15
February,,,1.53,0.53,1.37,2.33,2.91,0.59,0.59,1.83,2.55,,0.5,1.28,2.05,3.22,,,,,2.27,0.55,1.35,1.94,2.02,0.72,3.14,3.41,0.1,1.37
March,,,2.31,2.05,0.35,0.63,2.69,0.27,1.73,1.68,3.13,,0.44,0.25,0.81,0.91,,,,,3.21,2.15,0.88,2.22,1.76,0.74,1.87,0.98,1.73,1.48
April,,,1.49,2.9,2.32,1.74,2.74,0.18,1.59,1.36,1.58,0.5,0.94,2.04,1.03,0.83,,,,,3.08,1.03,1.83,0.23,0.7,0.82,0.17,0.84,1.31,0.55
May,,,1.34,0.81,0.8,1.25,4.72,1.61,0.8,1.28,2.28,2.3,1.95,0.35,1.22,1.32,,,,2.45,2.41,2.42,1.24,2.2,1.77,0.88,1.48,2.9,0.5,0.53
June,,,2.48,0.76,3.1,3.39,1.33,1.11,2.65,0.69,0.46,0.91,2.07,2.62,2.17,1.85,,,,1.98,0.87,1.15,4.11,2.15,1.9,2.52,1.86,2.98,0.81,1.11
July,,,1.1,1.42,0.78,6.23,4.06,2.01,1.56,2.59,3.6,2.99,0.81,2.94,1.16,2.73,,,,3.36,1.29,0.32,2.27,1.88,0.28,3.12,1.84,3.68,2.02,2.4
August,,,0.49,2.62,1.12,0.77,1.57,1.61,2.8,0.71,4.06,2.46,1.39,1.53,2.27,2.64,,,,3.23,4.17,2.12,2.43,4.19,0.93,4.51,2.3,2.77,1.47,3.54
September,,,2.05,1.72,3.14,2.49,1.01,2.84,1.25,0.98,0.74,1.46,1.88,3.96,1.57,,,,,2.82,2.68,2.76,1.01,1.87,1.21,1.3,4.06,2.45,0,1.87
October,,,2.91,1.76,2.86,1.61,1.69,2.28,2.93,1.45,1.4,2.07,1.26,3.86,2.42,,,,,0.71,1,1.8,2.08,2.31,1.93,1.21,1.42,1.72,1.53,3.88
November,,,1.65,1.73,2.92,2.14,1.43,1.93,3.41,7.11,2.77,2.58,1.86,3.61,0.72,,,,,3.45,2.95,2.57,1.56,3.97,1.1,0.73,1.3,1.11,1.3,3.74
December,,,0.49,3.88,1.85,1.75,2.73,3.35,1.95,2.39,0.68,1.81,0.86,1.26,2.4,,,,,,1.25,1.94,0.69,1.92,1.44,1.6,1.85,2.6,3.89,3.81
Total,,,19.44,21.26,22.69,27.34,30.3,20.23,24.75,23.53,25.47,,18.06,26,20.28,,,,,,27.69,20.49,20.49,26.21,16.93,21.91,22.79,27.79,17.75,27.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge move 1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
