BRIDEKIRK COCKERMOUTH,,,,,,,,,,
Grid ref,NY117336,Long,-3.3713361,Lat,54.689671,Elevation,350,ft,,
Station no,RR7608,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,2.53,3.03,6.82,3.79,3.93,3.62
February,,,,,1.93,3.12,3.67,2.34,3.79,5.51
March,,,,,3.98,1.88,2.45,1.17,4.99,3.44
April,,,,,2.03,0.52,1.22,4.99,2.62,1.2
May,,,,,1.88,-999,-999,1.72,2.55,1.79
June,,,,,4.4,-999,-999,1.37,-999,1.24
July,,,,,1.39,-999,3.95,3.86,-999,1.55
August,,,,,2.57,3.33,4.11,3.27,-999,1.62
September,,,,,5.69,1.78,7.24,4.58,1.98,6.75
October,,,,,3.65,3.74,2.4,3.79,4.75,3.1
November,,,,,3.74,3.81,6.21,-999,1.96,4.48
December,,,,,4.17,3.67,4.96,-999,6.2,3.68
Total,,,,,37.96,31.98,47.77,34.43,37.94,37.98
,,,,,,,,,,
1865 May/Jun/July bracketed,,,,,,,,,,
1866 May/June bracketed,,,,,,,,,,
1867 Nov/Dec bracketed,,,,,,,,,,
1868 June/July/Aug bracketed,,,,,,,,,,
