LOCKERBIE THORNBANK,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY134813,Long,-3.359337,Lat,55.118494,Elevation,259,ft,,,,,,,,,,,,,
Station no,5035,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.25,3.05,5.85,2.45,5.4,3.95,9.35,1.84,6.12,4.59,5.2,4.84,4.99,1.96,,,,,
February,,,3.25,5.7,0.35,4.5,5.5,2.45,3.65,0.36,0.19,3.24,0.06,4.01,0.24,4.32,,,,,
March,,,2.05,1.4,0.85,0.8,1.35,2.95,5.1,1.23,2.87,0.95,3.57,1.88,2.47,1.29,,,,,
April,,,2.45,4.25,2.9,4.1,2.65,2.1,0.8,1.27,1.69,1.79,3.63,2.67,3.67,3.91,,,,,
May,,,2.85,1.8,4.2,6.45,2.7,2.2,1.8,3.24,1.76,4.28,3.13,5.13,3.06,0.45,,,,,
June,,,1.65,1.05,1.65,0.15,2.75,4.05,7.19,2.33,2.63,7.64,2.49,3.32,2.76,5.35,,,,,
July,,,5.7,3.05,4.05,1.25,3.15,3.4,3.82,5.15,5.07,4.62,6.09,4.84,2.23,1.56,,,,,
August,,,3.25,9.41,4.02,4.7,4.4,5.6,8.09,7.2,8.47,2.46,1.61,2.05,5.92,4.34,,,,,
September,,,2.05,4.55,4.8,2.9,4.05,5.35,2.36,1.12,1.9,1.64,4.69,1.07,7.16,4.41,,,,,
October,,,2.4,6.3,3.4,5.05,4.45,5.8,8.68,4.44,8.36,2.65,7.3,2.09,6.76,6.89,,,,,
November,,,1.6,3.35,2.73,1.55,4.53,3.05,5.94,7.49,3.98,10.09,2.92,2.18,1.21,6.13,,,,,
December,,,4.6,2.8,7.6,3.65,0.85,1.6,3.78,7.68,4.75,3.59,7.43,1.33,6.95,4.33,,,,,
Total,,,36.1,46.71,42.4,37.55,41.78,42.5,60.56,43.35,47.79,47.54,48.12,35.41,47.42,44.94,,,,,
