"HIGH MOSS, PORTINSCALE",,,,,,,,,,,,,,,,,,,,,
Grid ref,NY250231,Long,-3.1623664,Lat,54.59749,Elevation,285,ft,,,,,,,,,,,,,
Station no,3643,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,5.6,5.02,7.6,6.31,10.53,8.1,14.31,1.49,11.64,6.3,13.06,9.66,10.09,3.35,8.16,9.82,8.31,7.48,3.01
February,,,5.84,9.07,0.63,8.87,7.22,3.23,7.38,0.95,0.77,5.31,0.13,5.84,0.3,9.72,3.55,7.71,1.97,6.47,1.73
March,,,4.38,2.25,1.2,1.95,3.12,5.5,5.6,0.89,3.28,1.11,4.09,4.21,3.04,1.25,2.51,3.12,3.45,5.19,4.86
April,,,2.87,3.79,3,7.5,4.63,4.77,2.11,1.69,1.07,3.22,5.88,1.8,3.78,4.23,0.9,2.44,0.73,2.81,2.16
May,,,2.55,4.33,4.95,6.99,3.45,3.25,1.75,4.05,2.53,4.63,3.48,3.12,5,0.9,1.06,2.13,4.05,0.81,1.4
June,,,3.52,1.65,2.86,0.32,4.81,5,7.25,1.85,3.05,7.56,2.67,2.67,3.04,4.83,3.57,2.45,7.72,4.63,0.94
July,,,6.05,4.85,7.67,1.97,5.26,8.2,5.64,5.78,4.84,7.96,8.03,4.48,1.67,1.85,6.4,3.23,6.47,7.39,5.4
August,,,4.46,12.6,4.53,4.48,5.53,7.29,8.05,6.06,9.09,4.12,1.46,2.81,6.78,2.68,2.01,3.63,3.31,2.96,2.21
September,,,3.95,7.57,10.3,5.67,6.01,8.83,3.84,2,4.37,2.64,7.49,1.04,7,9.3,6.72,4.79,3.76,1.46,5.68
October,,,1.4,12.83,5.62,8.02,5.32,8.49,10.79,8.56,11.93,4.46,9.39,5.55,8.25,10.49,6.1,3.42,13.79,2.4,
November,,,4.1,8.42,5.13,2.85,9.93,6.02,12.67,14.75,7.6,13.63,3.99,1.89,1.3,5.01,6.41,1.03,9.63,8.68,
December,,,9.83,3.93,15.24,7.09,1.6,1.51,6.46,14.94,6.52,5.61,10.35,0.57,9.66,3.44,9.27,3.29,4.24,2.18,
Total,,,54.55,76.31,68.73,62.02,67.41,70.19,85.85,63.01,66.69,66.55,70.02,43.64,59.91,57.05,56.66,47.06,67.43,52.46,
