CHESTER-LE-STREET BIRTLEY,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ277547,Long,-1.5682,Lat,54.886,Elevation,205,ft,,,,,,,,,,,,
Station no,RR2311,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,1.15,1.43,2.43,0.56,3.51,2.24,1.51,0.77,0.87,0.82,1.74,2.8,1.72,4.43,1.61,0.97,1
February,,,,2.15,1.05,1.45,2.29,1.65,0.79,2.61,1.64,3.76,0.87,1.64,1.27,0.78,1.52,0.58,1.24,1.07
March,,,,2.05,0.93,0.69,1.92,3.5,0.96,1.08,1.38,2.21,1.14,1.88,2.13,2,4,1.69,4.87,2.86
April,,,,4.06,0.92,1.1,3.16,4.47,2.04,1.86,2.52,1.13,3.43,1.37,3.05,1.78,1.61,0.88,2.59,2.76
May,,,,2.55,2.97,0.84,1.27,2.65,3.41,1.8,1.49,1.41,1.7,2.23,0.91,3.62,2.81,1.7,0.48,1.7
June,,,,1.2,0.57,1.86,1.81,1.39,2.03,3.32,2.13,2.4,2.72,3.3,1.05,1.82,1.19,0.29,1.79,0.43
July,,,,2.1,2.36,3.85,2.07,2.74,0.28,3.73,3.69,3.17,3.39,4.37,3.93,0.97,4.72,0.74,5.85,3.02
August,,,,2.77,2.28,2.61,1.42,5.48,5.62,3.23,1.24,5.54,2.36,1.82,0.93,3.45,1.31,2.53,1.76,3.78
September,,,,1.44,1.75,2.09,3.17,1.32,1.64,0.98,4.31,4.04,2.1,3.99,1.27,2.7,1.85,4.89,1.54,1.07
October,,,,2.03,1.3,4.55,1.38,2.49,1.22,0.87,4.59,4.27,3.72,1.68,1.71,5,4.32,2.25,0.88,4.07
November,,,,1.2,3.95,5.92,3.58,1.09,6.22,2.51,2.07,1.63,2.88,1.44,1.47,2.21,4.1,3.35,4.22,0.9
December,,,,0.32,4.57,1.52,4.78,1.39,4.05,0.76,4.17,2.66,4.9,1.9,1.06,1,3.56,2.99,0.79,1.28
Total,,,,23.02,24.08,28.91,27.41,31.68,30.5,24.26,30,33.09,30.03,27.36,21.58,27.05,35.42,23.5,26.98,23.94
,,,,,,,,,,,,,,,,,,,,
Observer R C Clephan lived at White House Birtley in 1881 and NGR given for there.,,,,,,,,,,,,,,,,,,,,
