MAIDENHEAD-WHITE-WALTHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,SU854775,Long,-0.77135401,Lat,51.490009,Elevation,100,ft.,,,,,,,,,,,,
Station no,RR2798,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,0.94,1.97,0.5,1.72,3.44,0.9,3.7,3.54,2.65,1.32,2.69
February,,,,,,,,,,1.69,1.11,0.3,0.4,0.5,0.6,2.15,3.18,1.49,1.25,2.25
March,,,,,,,,,,1.37,1.74,2.15,3.99,0.59,3.53,1,1.53,3.04,2.13,1.08
April,,,,,,,,,,2.44,0.63,0.92,2.44,0.32,2.35,0.6,1.9,1.95,1.55,0.68
May,,,,,,,,,,2.14,2.8,1,3.62,0.99,2.4,3.9,1.45,1.76,0.57,2.65
June,,,,,,,,,,1.49,4.07,2.68,1.91,3.65,1.1,0.65,3.71,1.15,0.35,0.89
July,,,,,,,,,,2.67,1.74,3.09,1.52,0.79,0.85,1.5,1.49,3.6,0.89,0.56
August,,,,,,,,,,2.41,4.6,0.85,2.42,2.64,0.69,2.38,2.33,1.53,3.16,1.3
September,,,,,,,,,,3.43,2.72,2.34,2.82,2.93,2.07,0.4,3.88,2.86,2.81,2.59
October,,,,,,,,,,2.9,1.82,1.08,2.41,3.42,0.81,6.35,1.44,2.41,2.31,1.63
November,,,,,,,,,,3.64,2.43,3.07,1.1,1.75,2.25,2.67,1.57,0.93,1.14,2.69
December,,,,,,,,,,2.53,3.21,1.19,1.32,1.25,0.48,1.95,2.3,1.61,5.1,3.3
Total,,,,,,,,,,27.65,28.84,19.17,25.67,22.27,18.03,27.25,28.32,24.98,22.58,22.31
,,,,,,,,,,,,,,,,,,,,
"NGR is White Waltham near church. No clues on record about location and cannot find the observer, J Silver, in White Waltham. Altitude from OS maps.",,,,,,,,,,,,,,,,,,,,
