ASHOP-HEAD-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK068907,Long,-1.8991638,Lat,53.413067,Elevation,1670,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2694/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.1,5.4,,7.37,6.57,8.9,,,,7.96,12.3,7.33,7.28,4.09,12.42,4.35,4.87,8.47,5.85,4.09,5.63,4.36,8.26,3.85,6.74,4.87,7.29
February,,,,0.45,9.45,4.46,9.8,2.23,4.92,,8.3,,5.74,3.85,7.52,9.15,2.22,4.47,3.47,8.37,6.34,5.07,,4.56,3.09,2.68,4.75,9.42,1.04,3.74
March,,,,6,3.29,4.5,5.97,3.36,3.43,3.98,6.04,4.01,1.86,2.24,2.09,2.41,7.91,1.81,3.48,3.17,8.17,3.53,4.62,4.26,4.26,2.97,4.69,3.37,2.96,1.62
April,,,,2.6,4.1,2.11,5.17,0.92,3.86,3.79,2.96,2.27,3.23,3.93,3.17,2.16,4.21,2.48,5.15,5.06,3.56,4.42,3.87,1.23,2.97,2.33,0.74,2.08,3.62,3.56
May,,,,3.95,0.66,1.07,3.11,4.57,2.62,1.24,3.29,4.83,4.07,7.13,4.12,1.87,3.89,1.82,3.54,1.75,2.11,3.37,2.86,4.43,5.47,1.68,1.84,5.08,0.74,2.57
June,,,,3.61,4.99,3.54,2.97,5.81,3.2,1.03,3.77,1.34,5.5,4.81,5.44,5.44,3.27,7.27,1.54,3.48,2.24,4.52,3.54,4.64,4.34,6.59,2.34,6.72,2.62,1.62
July,,,,5.95,3.18,7.81,5.49,5.9,8.99,6.94,3.45,8.98,3.41,5.81,2.23,7.63,3.34,3.34,2.76,5.03,5.23,4.23,8.43,11.22,0.84,8.58,7.53,7.24,5.72,10.06
August,,,,4.74,2.25,3.71,1.46,2.74,2.36,2.45,9.89,4.23,9.13,5.09,3.91,6.12,0.5,6.53,3.84,5.46,7.53,3.23,6.46,8.17,0.68,14.63,9.43,4.28,0.76,8.17
September,,,,4.25,8.55,8.14,1.87,2.98,1.94,4.02,0.81,4.18,6.65,7.81,3.86,7.96,2.28,3.47,2.65,8.46,3.16,6.92,4.11,6.52,3.95,5.23,11.76,8.57,0.19,5.28
October,,,,9.96,12.75,8.03,2.74,8.34,4.05,5.25,8.98,9.95,4.53,6.97,8.46,1.27,1.31,3.78,4.78,3.07,1.21,6.32,2.74,10.74,4.05,4.24,6.96,5.83,5.18,6.48
November,,,,3.6,6.88,7.93,2.37,7.11,9.12,,4.19,1.79,6.23,10.23,0.92,9.03,8.14,3.82,8.57,8.32,11.14,4.12,4.46,9.34,3.14,2.97,2.57,2.57,6.03,8.08
December,,,,7.03,5.9,7.37,4.75,6.84,4.96,7.2,3.74,,3.37,4.93,4.21,6.14,5.92,4.07,9.47,3.11,8.05,5.43,3.16,11.26,6.92,7.83,7.92,5.17,7.93,6.43
Total,,,,57.24,67.4,,53.07,57.37,58.35,,,,61.68,75.1,53.26,66.46,47.08,55.28,53.6,60.15,67.21,57.01,,82,44.07,67.99,64.38,67.07,41.66,64.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on Ashop Head. Stated altitude 50 ft too high or gauge is 200m W. Gauge is described as being 50 yards NW of Old Gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
