THORNE,,,,,,,,,,,,
Grid ref,SE675145,Long,-0.980939,Lat,53.622697,,,,,,,
Station no,3175/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.58,0.39,1.07,1.54,2.95,0.89,1.87,1.91,4.09,,
February,,0.39,1.60,1.67,1.73,1.08,1.44,3.11,0.23,1.44,,
March,,2.04,0.42,1.32,2.18,0.85,1.19,1.52,0.62,1.49,,
April,,0.75,1.51,0.20,1.00,1.76,0.17,0.35,2.58,0.72,,
May,,1.03,1.48,2.45,2.56,0.44,0.85,1.79,0.48,0.59,,
June,,1.63,1.19,1.60,2.37,3.61,1.97,3.59,1.45,0.62,,
July,,2.04,2.19,1.89,0.83,3.08,4.00,5.35,1.09,3.10,,
August,,1.09,2.64,5.76,0.68,5.35,4.62,2.16,0.47,2.47,,
September,,2.26,1.15,1.44,0.75,1.84,3.46,1.55,0.06,2.49,,
October,1.44,2.48,1.73,3.24,1.43,0.98,1.09,1.61,2.03,5.52,,
November,4.81,1.68,1.30,3.86,1.40,0.52,2.10,0.62,2.47,3.44,,
December,1.64,1.32,1.07,2.00,2.14,1.54,2.00,2.76,2.43,2.21,,
Total,,18.29,16.67,26.50,18.61,24.00,23.78,26.28,15.82,28.18,,
Calc annual,7.89,18.29,16.67,26.50,18.61,24.00,23.78,26.28,15.82,28.18,,
Difference,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
