DALNASPIDAL LODGE,,,,,,,,,,,
Grid ref,NN 64496 72887,Long,-4.222126,Lat,56.827649,Elevation,1414,ft,,,
Station no,RR6156,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,11.25,13.03,7.6,4.45,7.3,9.28,9.23,10.9,2.59,
February,,2.11,10.31,10.7,2.81,9.15,6.42,2.84,5.48,3.34,
March,,9.56,3.53,3.32,0.85,3.76,4.38,2.86,4.55,1.23,
April,,1.84,3.13,3.33,3.4,6.92,2.61,2.73,3.57,1.25,
May,,5.15,5.29,3.92,4.76,8.16,3.36,3.38,2.11,4.27,
June,,0.7,2.55,2.82,2.73,0.74,3.18,3.83,4.45,2.76,
July,,4.04,3.68,3.34,6.87,2.65,3.05,5.17,2.97,3.91,
August,,5.34,2.96,8.08,4.73,2.92,3.64,5.26,9.2,5.53,
September,2.77,3.44,2.78,4.95,10.1,3.18,3.87,5.16,4.54,2.99,
October,5.07,5.16,3.63,10.1,4.51,4.67,6.78,5.48,11.45,10.29,
November,9.48,5.14,4.81,3.97,4.83,1.29,8.02,5.23,9.02,10.49,
December,7.23,10.04,7.72,4.24,14.77,5.98,2.42,1.42,6.6,14.01,
Total,,63.77,63.42,66.37,64.81,56.72,57.01,52.59,74.84,62.66,
,,,,,,,,,,,
1920 Jul Au Estd Deleted,,,,,,,,,,,
1922 Fe Corrected,,,,,,,,,,,
,,,,,,,,,,,
Station no,RR6156,,,,,,,,,,
Midas,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,
