CHARTHAM (OLD MILL),,,,,,,,,,,,
Grid ref,TR097553,Long,1.004015,Lat,51.258282,,,,,,,
Station no,295/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.14,1.58,3.19,4.22,2.06,3.14,2.16,3.07,,
February,,,1.62,2.17,2.42,2.08,3.94,2.97,0.07,2.17,,
March,,,0.21,2.81,1.89,0.44,0.84,1.47,1.65,1.51,,
April,,,1.34,0.11,0.27,0.74,0.27,1.95,2.17,0.68,,
May,,,1.46,2.32,4.52,0.69,1.20,1.43,1.06,1.88,,
June,,,2.77,3.18,1.78,2.86,0.73,3.97,1.36,1.46,,
July,,,3.07,2.32,1.12,2.27,2.64,2.48,1.80,2.47,,
August,,,1.76,4.46,1.88,2.51,2.62,3.47,1.29,4.08,,
September,,,3.77,1.96,1.52,1.66,3.04,4.68,0.14,2.99,,
October,,,2.95,1.53,5.05,1.07,0.96,3.37,3.42,7.63,,
November,,,1.49,5.29,1.04,0.80,3.84,1.73,4.79,6.39,,
December,,,1.08,1.59,2.31,3.36,2.07,3.72,5.85,4.67,,
Total,,,22.66,29.32,26.99,22.70,24.21,34.38,25.76,39.00,,
Calc annual,0.00,0.00,22.66,29.32,26.99,22.70,24.21,34.38,25.76,39.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
