HAWARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ312658,Long,-3.031,Lat,53.1848,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,1.1,3.1,3.7,2.6,1.6,0.3,2.8,2.8,0.2,0.6,2.45,0.2,1.92,3.02,1.11,1.95,2.36,2.87,2.09,3.26,2.32,2.29,3.24,2.16,,3.06,0.93,5.09,2.73,0.86,0.39,,,,,,,,,
February,1,1,2.9,0.7,1.1,1.4,1.3,0.9,0.4,2.2,0.5,1.81,0.58,0.46,1.35,1.75,2.88,1.36,2.05,2.75,1.33,2.07,2.65,0.89,,1.89,2.73,2.14,1.32,2.6,1.87,,,,,,,,,
March,1.1,3.4,0.6,1.7,0.7,1.8,0.9,2.4,1,2.8,2.45,1.85,3.1,0.5,3.32,1.54,1.8,2.29,2.32,2.04,1.85,1.25,3.64,3.44,,0.9,2.57,2.51,1.18,1.11,1.57,,,,,,,,,
April,1.7,1.5,0.3,1.7,,0.4,1.6,2.9,3.6,3.8,0.9,1.26,2.28,0.9,1.62,0.73,0.82,3.36,1.66,1.8,1.3,2.13,3.4,0.92,,0.54,3.11,2.89,1.49,3.62,1.1,,,,,,,,,
May,1.7,1.8,2.1,1.3,,1.2,2.3,2.9,2.3,1.7,1.95,0.42,4.39,0.7,2.32,2.83,0.98,1.83,1.78,5.56,1.02,1.56,1.93,1.9,,2.15,0.37,2.25,3.83,1.94,1.77,,,,,,,,,
June,1.7,2.4,4.4,4,,3.1,1.8,3.2,2.4,2.5,4.16,3.08,2.31,1.78,1.65,1.22,2.85,0.73,0.15,0.93,0.78,2.8,4.65,1.21,,2.02,1.6,0.84,2.57,5.01,3.78,,,,,,,,,
July,2.9,2.4,2.8,6.3,1,5.8,2.8,2.1,1.6,4,1.38,3.28,2.38,0.89,0.67,1.19,2.49,4.49,0.43,0.73,0.58,3.23,6.76,1.48,2.57,4.04,1.69,4.2,0.59,3.83,5.59,,,,,,,,,
August,3.5,2.1,4.2,2.5,2.3,2.3,2.5,4.8,1.6,2.6,4.95,1.31,3.22,2.17,1.32,4.37,3.63,1.11,2.8,1.31,2.32,1.02,2.4,3.27,2.14,3,3.1,5.72,4.39,6.62,1.8,,,,,,,,,
September,1.4,2,5.2,2,0.7,0.7,4.1,2,2.2,2.4,1.4,2.76,3.25,2.88,2.13,0.11,5.53,1.34,2.2,5.15,1.9,4.29,4.88,4.34,1.99,4.47,5.11,2.84,2.96,2.62,2.04,,,,,,,,,
October,1.8,2.4,3.5,3.1,1.8,3.3,2.4,1.9,2.7,3.4,2,1.59,3,4.97,2.69,3.07,1.43,3.99,2.22,3.16,4.41,4.38,7.02,2.56,3.04,5.58,3,2.84,3.19,1.29,5.76,,,,,,,,,
November,2.3,2.4,5.9,1.4,2.8,0.3,1.7,1.8,1.6,2.2,1.96,2.44,1.37,2.74,2.1,2.36,3.01,1.07,3.24,3.56,2.6,1.61,4.01,2.01,3.08,3.79,4.64,3.54,2.8,1.35,1.79,,,,,,,,,
December,1.8,0.5,3.8,1,2.9,1.2,1.7,0.4,2.1,2.3,3.7,1.82,2.57,2.05,1.39,0.84,2.04,2.97,6.67,2.66,2.88,1.59,3.9,0.89,3.5,0.99,5.27,2.59,2.16,1.7,4.07,,,,,,,,,
Total,22,25,39.4,28.3,,21.8,25.9,28.1,21.7,30.5,27.8,21.82,30.37,23.06,21.67,21.96,29.82,27.41,27.61,32.91,23.29,28.22,48.48,25.07,,32.43,34.12,37.45,29.21,32.55,31.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854 incomplete year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
