HAWARDEN (Railway),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ311695,Long,-3.0333,Lat,53.218,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,1.1,0.77,1.42,2.97,0.86,1.24,1.27,3.44,2.61,1.71,1.66,2.52,1.89,0.46,4.3,1.18,1.59,1.51,2.14,0.5,3.92,3.06,1.42,2.84,0.74,2.03,1.5,2.67,2.99,3.08,3.69,,,,,,,,
February,,,0.98,2.1,1.84,0.17,0.84,2.06,1.76,1.44,3.4,1.15,1.94,1.38,3.37,0.8,2.26,1.54,1.64,0.73,2.41,1.61,1.01,0.84,1.88,2.71,3.07,1.24,1.71,1.33,2.47,0.23,2.29,,,,,,,,
March,,,0.77,0.61,1.23,2.04,2.94,2.22,0.68,0.89,1.26,1.72,1.47,3.77,1.5,2.88,2.14,1.72,3.31,2.34,0.66,0.96,2.68,3.67,2.14,1.08,2.02,2,0.57,5.18,3.9,1.03,1.93,,,,,,,,
April,,,0.84,0.51,1.3,1.34,1.11,2.07,1.79,2.25,0.91,1.66,1.91,1.77,0.57,1.58,0.64,0.99,3.73,2.04,2.59,0.59,0.32,3.08,0.45,1.06,1.53,1.27,1.29,1.46,4.04,0.79,1.84,,,,,,,,
May,,,1.94,1.56,2.47,0.48,0.31,1.25,4.39,1.82,1.51,0.99,3.41,2.54,1.69,0.7,1.89,2.86,2.62,1.03,1.82,1.52,1.98,2.47,1.55,1.67,2.6,2.93,3.34,0.57,2.35,1.32,0.37,,,,,,,,
June,,,2.67,1.39,1.87,1.29,2.8,2.06,1.6,2.48,1.53,1.73,1.3,1.01,1.06,3.92,0.99,3.33,1.86,2.77,2.76,3.19,3.07,1.55,2.67,0.77,0.94,1.82,2.68,1.22,2.24,0.23,1.22,,,,,,,,
July,,,1.77,1.91,3.15,3.1,1.89,0.31,0.57,2.12,2.67,2.96,1.27,3.19,1.27,2.5,0.73,2.36,2.34,1.81,3.57,0.63,2.39,2.21,5.32,2.7,1.45,0.78,2.78,1.19,4.33,0.57,2.82,,,,,,,,
August,,,3.82,2.19,2.83,1.77,2.24,3.45,3.68,1.13,6.39,2.25,3.41,2.83,3.98,4.4,2.58,1.76,2.98,2.67,2.81,2.43,5.27,2.73,1.59,3.63,1.77,6.5,2.03,3.62,1.42,2.68,2.36,,,,,,,,
September,,,2.16,1.94,0.79,1.16,3.55,3.55,1.17,3.09,0.38,1.1,0.74,3.86,1.63,1.21,0.95,0.33,4.37,2.26,0.08,3.72,0.9,1.42,2.21,1.24,2.08,0.85,5.86,1.89,2.22,0.67,2.35,,,,,,,,
October,,,4.98,1.7,2.88,4.51,3.7,1.87,3.27,2.85,3.74,2.77,3.45,6.82,0.93,2.02,3.77,4.95,1.72,3.31,2.79,2.2,2.9,2.95,1.05,1.95,4.31,4.69,1.65,3.32,1.95,2.34,0.41,,,,,,,,
November,,,1.47,1.15,1.62,2.45,0.84,2.8,1.5,1.63,3.21,3.06,1.52,2.54,1.61,3.22,2.06,2.3,2.09,0.85,5.53,1.85,2.43,1.61,3,3.28,2.51,2.2,1.75,2.35,0.41,2.28,1.1,,,,,,,,
December,,,1.11,2.86,1.97,2.14,3.1,2.26,1.62,2.36,2.57,3.49,2.22,1.48,2.56,0.58,3.29,1.9,1.39,4.97,3.66,3.84,1.51,1.99,5.58,3.91,1.89,1.14,4.44,4.57,1.57,2.41,3.43,,,,,,,,
Total,,,23.61,18.69,23.37,23.42,24.18,25.14,23.3,25.5,30.18,24.59,24.3,33.71,22.06,24.27,25.6,25.22,29.64,26.29,30.82,23.04,28.38,27.58,28.86,26.84,24.91,27.45,29.6,29.37,29.89,17.63,23.81,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual estimates for 1890 and 1891 are computed and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The elevation of 35 ft is far too low for the location to be Hawarden town.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawarden Bridge is a better fit, and might also tie in with the comment on the 1890s rainfall sheet about the site being extremely exposed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
