"BRIDSTOW (ASHE LEIGH)",,,,,,,,,,,,
Grid ref,SO579261,Long,-2.613714,Lat,51.931809,,,,,,,
Station no,2218,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.71,1.98,0.69,,,,,,,,,
February,4.03,0.39,1.49,,,,,,,,,
March,3.69,1.98,0.86,,,,,,,,,
April,2.36,1.93,3.04,,,,,,,,,
May,3.17,3.30,2.07,,,,,,,,,
June,0.89,1.72,1.58,,,,,,,,,
July,0.99,0.94,3.00,,,,,,,,,
August,3.51,4.98,3.03,,,,,,,,,
September,3.41,1.95,2.80,,,,,,,,,
October,0.70,3.80,2.77,,,,,,,,,
November,7.31,3.88,1.50,,,,,,,,,
December,2.63,1.80,1.34,,,,,,,,,
Total,35.40,28.65,24.17,,,,,,,,,
Calc annual,35.40,28.65,24.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
