SHERBORNE-BARTON-GDNS-(NEW-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST628168,Long,-2.53091,Lat,50.94959,Elevation,285,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1546/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.07,2.58,3.19,4.28,7.04,2.09,2.77,3.26,2.75,5.04,0.54,0.54,3.24,2.54,0.98,1.84,2.9,4,2.57,2.65,5.31,3.4
February,,,,,,,,,1.88,3.26,3.35,0.24,1.39,0.64,1.84,2.15,1.29,1.19,1.48,5.76,5.3,0.75,1.77,3.01,2.11,0.2,3.86,3.98,0.3,3.51
March,,,,,,,,,1.16,2.44,3.4,2.56,0.86,0.36,1.24,0.81,6.54,1.12,1.48,1.14,3.37,2.81,0.62,3.73,1.33,0.75,2.09,0.78,3.95,2.28
April,,,,,,,,,2.23,2.1,2.1,1.64,1.08,1.52,0.71,3.03,2.75,1.5,1.7,2.08,3,2.12,3.14,0.26,0.94,1.32,0.32,0.8,2.84,2.28
May,,,,,,,,,0.54,2.89,1.6,3.91,2.8,1.55,3.78,3.69,2.26,3.78,1.94,1.68,3.05,3.42,1.9,2.22,4.09,0.69,1.32,2.2,1.48,1.62
June,,,,,,,,,2.11,0.63,2.11,0.74,2.23,1.85,3.19,3.3,1.39,1.85,0.41,1.5,0.87,2.9,2.81,3.11,2.28,2.06,1.11,3.93,0.77,2.07
July,,,,,,,,,6.65,3.62,2.75,1.94,2.31,2.37,1.55,1.24,2.05,1.37,1.59,3.94,2.08,0.79,3.74,3.17,2.3,1.84,3.6,1.78,1.55,3.32
August,,,,,,,,,3.21,0.19,3.52,4.56,2.79,2.79,2.19,4.57,0.82,5.41,1.46,4.15,4.7,5.4,2.22,2.2,0.66,4.17,3.02,3.03,1.76,6.08
September,,,,,,,,,0.82,1.97,0.84,1.92,2.91,1.76,4.59,5.81,1.33,2.24,3.33,4.77,3.44,3.3,3.62,2.98,1.5,5.03,3.7,5.53,0.16,4.39
October,,,,,,,,,3.74,4.61,1.51,2.65,4.19,4.86,3.3,1.53,0.63,3.08,7.92,1.31,1.2,3.96,3.64,2.4,2.29,2.16,2.41,2.96,3.4,8.15
November,,,,,,,,,5.88,8.59,1.73,1.2,2.51,6.28,0.86,6.37,1.49,1.68,3.76,6.13,10.2,3.99,1.31,7.09,3.31,0.85,2.33,3.41,4.23,4.86
December,,,,,,,,,2.06,3.28,1.64,4.95,3,3.24,3.79,4.09,3.15,5.72,1.37,2.73,3.07,2.51,0.75,2.79,4.96,4.51,2.92,3.99,7.66,4.31
Total,,,,,,,,,36.35,36.16,27.74,30.59,33.11,29.31,29.81,39.85,26.45,33.98,26.98,35.73,43.52,34.49,26.5,34.8,28.67,27.58,29.25,35.04,33.41,46.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 9132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
