SHERBORNE-BARTON-GDNS,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST628168,Long,-2.53091,Lat,50.94959,Elevation,285,ft,,,,,,,,,,,,,
Station no,1546,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,2.98,3.04,3.55,1.19,5.52,-999,2.91,2.86,2.6,0.6,4.44,5.95,2.84,5.59,
February,,,,,,,1.73,3.86,2.22,1.22,0.74,-999,0.02,3.84,0.12,2.87,2.88,4.9,0.8,1.82,
March,,,,,,,0.82,4.08,2.25,0.33,1.67,1.16,1.62,3.19,2.47,0.94,3.84,4.46,0.25,1.19,
April,,,,,,,2.3,1.51,1.44,0.76,2.8,2.62,2.26,0.9,2.53,3.72,1.65,2.12,0.09,2.25,
May,,,,,,,1.47,1.34,1.48,2.36,1.66,2.68,4.55,1.59,0.99,1.61,0.54,2.61,1.92,0.54,
June,,,,,,,1.57,2.21,2.79,1.7,0.34,2.57,1.72,2.46,1.12,3.51,2.05,1.04,1.41,2.09,
July,,,,,,2.65,2.23,2.6,1.81,1.55,1.71,3.83,2.64,2.15,0.39,0.6,5.12,3.56,3.07,6.64,
August,,,,,,2.22,1.35,3.41,2.23,1.78,3.65,3.16,0.9,1.77,3.08,2.91,0.07,1.5,2.44,3.17,
September,,,,,,3.49,0.91,5.22,1.65,0.61,3.22,1.81,4.31,2.3,2.8,3.02,2.81,3.54,1.74,0.77,
October,,,,,,4.01,3.15,2.31,5.66,5.2,2.55,0.52,7.13,2.34,2.94,4.16,1.65,4.44,2.82,3.66,
November,,,,,,2.71,8.42,2.84,3.88,8.75,4.69,5.77,2.62,0.83,1.61,6.8,2.85,1.9,4.85,5.68,
December,,,,,,3.68,0.5,3.53,2.76,7.71,3.2,1.48,1.77,0.73,8.02,4.59,4.28,3.9,4.34,1.97,
Total,,,,,,,27.43,35.95,31.72,33.16,31.75,29.96,32.45,24.96,28.67,35.33,32.18,39.92,26.57,35.37,
,,,,,,,,,,,,,,,,,,,,,
1926 Not printed Low Gauge rather overexposed,,,,,,,,,,,,,,,,,,,,,
1927 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1927 Nov 12th Inspection,,,,,,,,,,,,,,,,,,,,,
1928 Apr 1st Gauge moved 5yrds NNW,,,,,,,,,,,,,,,,,,,,,
1928 Not printed Low by 2in,,,,,,,,,,,,,,,,,,,,,
1931 Jan Feb Bracketed value 4.36,,,,,,,,,,,,,,,,,,,,,
