LITTLEBOROUGH (UPPER CHELBURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD952185,Long,-2.074115,Lat,53.662962,Elevation,725,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.8,4.7,2.5,3.2,4.6,2.2,6,4.8,5,5.6,2.6,7,5,1.5,1,0.8,5.5,7.7,6.9,2.9,6.7,2.3,1.9,3.4,5.3,3.3,2.2,0.7,3.6,3,1.8,1.4,4.3,6.6,6.3,2.7,3.3,4.3,3.4,1.9,5.1,2,4.26,2.6,7.68,2.13,-999,3.62,3.25,6.17,3.72,-999,2.75,-999,4.67,7.2,3.36,,3.74,5.28,5.98,4.82,13.37,2.76,7.83,6.28,6.41,3.5,4.21,2.31,4.71,5.04,6.48,6.39,2.75,1.78,5.88,6.9,7.67,5.04,6.03,3.64,11.15,2.98,3.61,4.94,5.77,1.93,4.53,3.19,6.69,5.18,5.46,4.2,6.47
February,,,,,,,7.1,5.3,5.1,7.3,1.7,4.5,4.2,0.7,2.1,1.4,5.7,5.9,1.9,3.7,3.1,6.4,2.7,2.8,4.3,4.5,1.2,1.5,0.7,2.3,0.8,0.4,2.7,5.1,6.1,0.2,1,3.3,3.6,1.3,3.3,1,1.5,3.5,3.8,2.1,2.8,2.08,2.76,2.25,1.96,5.09,-999,1.66,3.39,4.63,-999,-999,7.29,-999,3.7,0.73,5.14,,2.16,8.12,4.15,2.07,6.5,0.94,1.05,6.64,0.45,5.29,0.46,6.9,3.06,6.75,2.65,5.88,2.46,5.92,1.73,4.27,3.01,6.46,7.44,1.76,4.01,4.29,6.32,4.24,1.53,2.37,3.69,2.59,1.44,3.6,6.58,0.76,3.03
March,,,,,,,2.6,2.3,4.3,2.9,2.9,1.5,4.3,2.7,5.1,1,5.2,4.1,2.9,2.2,3.7,5.3,6,0.8,2.2,2.6,3.5,2,3.5,2.6,3.9,2.1,1,1.5,4.2,3.5,5.4,5.1,2.5,2,0.7,3.2,1.8,5.4,2.2,3.2,3.4,3.86,3.02,2.6,0.92,2.23,5.18,4.35,4.82,-999,-999,-999,1.63,-999,3.14,4.08,3.08,,1.96,1.94,2.63,5.43,3.72,1.52,3.35,0.42,2.96,4.2,4,1.94,3.08,2.76,1.42,3.51,3.56,5.02,3.92,1.77,0.75,1.56,1.74,6.64,2.19,2.03,2.84,5.82,2.98,2.51,2.73,2.37,1.96,4.27,2.47,2.11,1.8
April,,,,,,,1.3,4.8,3.2,2.2,1.5,4,4,0.3,1.8,1.3,3.1,2.7,2,2.4,3.3,1.5,4.7,2.4,2.1,2.8,3.7,1.4,2.4,3.4,1.4,2.2,1.5,0.7,1.4,2.2,1.5,3,2.3,3.8,2.3,2.6,2.2,1.6,2.8,2.8,1.3,2.13,2.04,3.87,3.68,2.4,1.11,4.08,1.31,-999,2.7,-999,1.21,1.85,5.84,1.43,3.18,,2.32,3.73,1.73,3.94,1.16,1.45,3.9,4.37,4.85,1.97,2.94,4.02,1.73,2.94,0.77,2.53,3.21,3.64,2.33,3.04,3.48,3.13,1.82,5.48,2.48,5.13,4.63,3.07,3.53,3.84,0.86,2.38,3.99,0.46,1.74,4.06,3.13
May,,,,,,,1.5,2.6,1.4,5,2,1.7,2.6,2.9,1.8,2.7,0.8,3.8,5.2,2.1,2.7,5.3,2.4,0.9,2,2.3,5,1.9,0.7,2.3,2.7,3.2,3.5,2.3,2.4,0.5,0.4,1.8,2.8,2.8,1.8,1.9,2.5,3.3,1.9,0.7,2.1,3.77,2.54,2.13,2.57,1.57,2.83,3.42,2.18,3.8,2.57,2.13,1.82,1.78,5.6,2.25,1.25,,5.86,5.45,5.02,1.97,1.95,3.82,2.36,3.05,5.41,2.21,3.64,1.12,1.43,2.52,4.31,1.59,2.14,2.45,4.32,3.3,4.36,4.94,1.83,2.27,1.5,4.33,2.38,2.88,2.12,3.07,3.05,4.29,1.87,1.84,4.78,2.45,2.1
June,,,,,,,5,3.3,1,0.2,2.5,3.7,7,1.9,1.4,3.8,3.6,2.6,3.1,5.7,3.1,1.9,7,4.7,1.3,4.9,2.3,0.5,2.8,0.4,3.6,1.2,3.2,1.9,2.9,3.6,2.2,4,2.9,1.6,4,1.5,1.3,1.1,1.6,2.5,2.1,7.8,2.18,2.57,3.45,2.54,6,3.32,2.13,0.52,2.62,2.1,1.18,1.6,2.62,0.19,2.89,,2.83,0.15,2.76,4.46,7.47,1.86,2.76,6.6,1.09,3.38,2.67,5.02,4.47,3.67,5.52,4.01,0.92,1.27,1.03,4.19,4.04,4.95,4.13,3.56,5.81,0.9,2.59,1.55,3.68,2.55,3.46,3.3,3.43,2.79,5.44,2.69,2.05
July,,,,,,,4.7,6.5,0.4,2,1.1,5.3,4.1,4.9,2.1,5.9,3.4,5,0.5,6.5,4,3.8,5.4,2.2,4.9,1.6,5.4,1.9,5.6,4.1,3.1,2.6,2.6,3.3,2.6,4.9,3.4,1.9,1,2.8,2.6,1.9,2.5,5.2,1.8,2.9,2.2,2.95,4.3,5.82,3.75,0.95,2.42,1,3.46,4.65,2.33,2.14,4.98,1.3,8.97,2.33,4.55,,4.56,2.16,3.74,3.11,2.17,2.63,7.03,5.4,4.64,3.1,2.91,2.05,4.34,2.65,5.13,7.13,4.25,1.79,4.63,3.21,4.78,2.98,4.78,3.31,2.11,2.38,4.78,4.95,2.33,7.21,6.27,1.06,7.71,5.4,4.55,3.61,6.85
August,,,,,,,5.3,2,4.2,3.6,2.5,1.5,4,5.2,6.3,3.4,5.1,4.3,6.3,6,4.7,5.7,3.4,2.2,1.9,1.5,1.9,1.1,4.3,6.7,4.9,7.6,4.7,3,4.2,3.9,2.6,3.7,6.1,1.1,5.6,2.3,3,5.1,4.8,6,4.2,4.03,3.65,3.13,5.63,2.53,7.38,2.23,3.45,4.37,3.28,7.2,3,3.93,2.3,6.58,5.65,,7.16,5.08,5.12,9.37,5.21,6.31,8.18,5.55,1.46,1.65,3.59,1.95,2.96,2.91,5.99,3.24,2.47,7.18,5.21,7.73,4.28,3.39,6.84,0.44,5.31,4.97,6.5,6,5.85,5.81,7.27,1.36,11.95,6.77,7.01,0.4,4.93
September,,,,,,,5.6,3.9,3.5,5.9,3.4,4.4,7.4,3,4.2,6,4.8,4.5,4.9,3.4,3.8,1.6,2.1,7.4,2.2,7,4.5,5.7,1.5,2.1,1.4,3.4,3.7,4.3,0.1,1.7,7.6,3.9,0.8,6.6,1.5,0.7,2.1,5.7,1,1.8,0.9,1.17,3.86,2.94,0.34,3.81,2.66,1.46,3.07,1.23,2.33,2.64,11.48,1.97,2.6,1.9,3.31,,5.3,4.82,3.76,6.26,0.67,2.24,4.31,3.57,6.12,1.55,4.27,8.8,5.28,2.49,1.63,1.58,5.31,0.73,2.56,6.17,6.7,3.36,8.33,3.38,3.58,1.33,8.89,3.17,4.25,3.63,6.22,3.34,4.17,5.82,5.65,0.43,3.42
October,,,,,,,3.2,3.1,5.7,2.8,11.6,5.3,6.8,6.9,5.6,5.6,3.6,7.3,4.4,3.3,4,5.2,3.8,5.9,2.5,8.2,5.7,1.9,1.8,4,4.1,5.8,6.3,4,4.5,3.9,4.8,2.5,4.6,3.6,5.9,3.1,4.3,8.5,2.4,2.7,6.4,4.98,2.28,5.62,2.81,3.16,5.54,2.2,2.54,1.61,7.48,7.55,3.42,2.1,1.73,3.05,1.1,,6.47,6.08,4.93,5.25,6.15,6.44,7.3,3.2,8.4,5.31,5.75,10.01,5.89,2.72,11.76,2.59,5.45,5.62,7.33,3.47,5.59,7.24,1.09,1.4,3.26,5.9,3.04,1.42,6.57,2.58,9.7,3.33,3.61,8.09,5.78,5.16,5.59
