"CONSETT CONSETT PARK FARM",,,,,,,,,,,,
Grid ref,NZ086493,Long,-1.867626,Lat,54.838449,,,,,,,
Station no,3554,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.56,,
February,,,,,,,,,,1.58,,
March,,,,,,,,,,4.17,,
April,,,,,,,,,,2.26,,
May,,,,,,,,,,1.69,,
June,,,,,,,,,,3.71,,
July,,,,,,,,,,2.35,,
August,,,,,,,,,,3.57,,
September,,,,,,,,,1.88,2.03,,
October,,,,,,,,,1.99,1.99,,
November,,,,,,,,,0.92,0.46,,
December,,,,,,,,,0.75,3.73,,
Total,,,,,,,,,,28.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.54,28.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
