CONSETT CONSETT PARK FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ086493,Long,-1.867626,Lat,54.838449,Elevation,641,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,0.56,2.84,1.8,2.96,4.01,1.16,1.76,0.85,3.6,2.47,3.56,2.95,5.18,2.85,0.94,2.04,2.81,2.57,,,,
February,,,,,,,,,,1.58,3.13,0.55,2.53,0.82,1.47,3.05,3.18,0.87,1.51,1.97,1.1,0.13,2.12,4.39,0.86,3.01,2.21,,,,
March,,,,,,,,,,4.17,0.85,2.51,2.23,4.07,1.41,1.72,4.16,1.69,1.31,2.52,3.18,0.89,1.81,1.76,1,2.17,0.39,,,,
April,,,,,,,,,,2.26,2.57,1.13,0.04,2.98,0.63,0.57,1.59,2.28,1.63,1.4,3.72,1.18,2.71,1.69,1.41,3.89,1.33,,,,
May,,,,,,,,,,1.69,1.88,1.21,2.53,2.13,1.38,1.78,3.7,2.21,1.75,1.44,3.69,2.14,0.57,1.87,5.21,3.57,1.99,,,,
June,,,,,,,,,,3.71,1.85,4.04,4.44,1.14,3.67,0.45,1.64,1.57,0.26,0.82,1.01,0.42,1.16,1.34,1.98,0.13,4.16,,,,
July,,,,,,,,,,2.35,3.54,0.59,3.87,1.56,1.8,3.96,2.73,1.92,2.67,1.74,3.11,1.53,6.5,1.9,4.24,1.75,3.3,,,,
August,,,,,,,,,,3.57,3.57,3.04,5.38,1.32,1.69,3.37,2.86,7.28,1.77,2.23,2.33,5.86,2.38,4.11,2.93,3.33,2.55,,,,
September,,,,,,,,,1.88,2.03,0.62,2.33,2.15,3.35,1.62,1.34,1.75,0.85,5.26,0.91,1.48,0.76,4.73,2,3.26,2.81,3.09,,,,
October,,,,,,,,,1.99,1.99,3.38,2.32,2.15,3.58,1.93,1.38,3.45,2.65,2.33,4.31,3.6,1.48,1.95,2.36,4.16,3.2,3.03,,,,
November,,,,,,,,,0.92,0.46,3.07,3.27,1.01,0.99,3.52,1.53,4.1,0.72,1.55,4.99,1.05,3,0.96,3.9,1.36,2.64,5.27,,,,
December,,,,,,,,,0.75,3.73,2.72,4.37,1.83,1.08,5.98,6.72,3.22,2.55,2.45,2.59,4.42,1.26,4.45,2.76,3.34,4.91,0.71,,,,
Total,,,,,,,,,,28.1,30.02,27.16,31.12,27.03,26.26,27.63,33.23,28.19,24.96,28.48,31.64,23.83,32.19,29.02,31.79,34.22,30.6,,,,
