CONSETT PARK FARM,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ086493,Long,-1.867626,Lat,54.838449,Elevation,630,ft,,,,,,,,,,,,,
Station no,3554,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,2.3,1.8,3.42,2.1,1.3,1.54,1.96,2.26,4.38,4.73,2.71,4.2,2.56
February,,,,,,,,,1.04,1.52,1.81,1.08,1.3,5.63,0.32,3.66,3.9,4.22,1.53,1.12,1.85
March,,,,,,,,,3.72,0.23,1.79,1.38,2.19,1.14,4.38,0.86,2.79,3.89,0.33,3.44,1.69
April,,,,,,,,,0.73,1.33,2.24,3.17,1.57,1.49,5.87,2.34,1.76,2.87,0.14,1.47,1.41
May,,,,,,,,,1.74,1.07,1.15,2.93,4.38,2.55,1.92,0.93,2.31,3.04,3.2,1.22,1.01
June,,,,,,,,,5.27,1.43,0.9,4.62,1.14,1.86,2.66,4.35,3.9,1,2.67,2.82,0.64
July,,,,,,,,,1.29,2.83,6.77,2.49,4.16,0.98,2.18,0.74,3.11,2.25,2.34,3.88,6.67
August,,,,,,,,,3.47,2.7,5.46,3.47,2.22,1.36,2.7,2.89,2.02,2.32,4.04,2.86,1.02
September,,,,,,,,,1.2,1,3.82,2.23,2.2,2.32,1.34,5.03,3.74,1.81,1.67,2.19,1.68
October,,,,,,,,1.49,3.39,1.64,1.96,0.89,4.21,3.95,4.06,4.31,1.28,2.35,4.33,6.48,4.3
November,,,,,,,,3.04,3.42,2.72,3.1,2.63,0.64,3.9,2.99,4.66,3.91,1.66,3.34,3.18,3.93
December,,,,,,,,4.04,1.58,3.14,2.95,0.89,0.81,1.63,4.48,1.71,1.91,5.17,4.02,1.41,2.5
Total,,,,,,,,,29.15,21.41,35.37,27.88,26.12,28.35,34.86,33.74,35.01,35.31,30.32,34.27,29.26
