EAST YELL SHETLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,HU519862,Long,-1.0554327,Lat,60.555978,Elevation,177,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,8.92,3.56,6.94,6.97,2.88,6,7.5,3.95,4.46,4.93,3.15,5.9,,,6.71,5.19,5.18,4.77,4.79,3.04,2.12,2.81,,,,,,,,
February,6.66,4.8,2.8,4.48,3.1,1.9,3.53,4.17,7.74,4.88,3.83,8,,,2.45,2.42,2.93,5.9,2.2,1.49,5.7,3.13,,,,,,,,
March,5.38,4.2,4.52,2.6,7.76,4.88,3.07,2.22,4.39,5.17,2.17,3.57,,,4.88,1.03,7.97,3.53,2.98,2.13,3.18,3.5,,,,,,,,
April,1.69,0.99,4.44,5.1,1.85,1.47,1.71,3.83,4.09,2.64,3.37,2.97,,,5.45,1.94,3.2,1.8,0.61,1.83,2.67,2.13,,,,,,,,
May,2.4,4.65,2.62,1.93,1.74,1.68,1.53,1.22,3.51,2.77,1.41,2.09,,,2.3,2.57,2.26,2.18,1.51,2.56,2.54,1.81,,,,,,,,
June,3.26,0.66,2.6,2.47,3.19,1.04,1.35,1.45,3.82,1.25,1.83,1.98,,,2.16,3.09,2.31,2,1.43,1.48,1.04,1.5,,,,,,,,
July,1.5,1,3.56,0.97,2.8,1.86,1.77,1,1.8,3.66,1.17,2.34,,,1.91,3.21,2.69,2.92,1.75,1.9,1.46,4.13,,,,,,,,
August,3.98,6.7,0.95,4.18,3.6,3.34,1.82,2.31,5.96,3.81,1.88,2.23,,,4.96,3.47,4.96,4.76,1.69,4.34,1.32,2.32,,,,,,,,
September,4.74,2.88,2.9,5.82,2.35,1.98,4.18,4.96,0.86,3.9,1.75,2.56,,,4.46,3.81,3.73,2.68,4.47,4.04,5.37,1.24,,,,,,,,
October,6.86,4.06,8.72,6.55,5.09,4.82,5.32,6.68,6.51,4.05,2.43,6.47,,,4.39,5.42,4.84,4.29,4.64,3.61,3.62,2.11,,,,,,,,
November,5.5,6.56,3.32,3.56,4.35,6.94,6.06,3.33,2.89,7.57,4.49,5.83,,,5.81,6.36,5.34,6.62,2.86,3.72,5.42,4.86,,,,,,,,
December,5.6,4.62,8.84,14.07,3.6,2.18,5.45,6.69,5.32,5.14,4.94,6.94,,,4.3,5,2.35,5.38,1.59,5.64,4.24,5.33,,,,,,,,
Total,56.49,44.68,52.21,58.7,42.31,38.09,43.29,41.81,51.35,49.77,32.42,50.88,,,49.78,43.51,47.76,46.83,30.52,35.78,38.68,34.87,,,,,,,,
