"PLOCKTON, CARVER'S CROFT",,,,,,,,,,,,
Grid ref,NG806337,Long,-5.647603,Lat,57.340842,,,,,,,
Station no,RR4347,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,1.31,,
April,,,,,,,,,,3.24,,
May,,,,,,,,,,3.36,,
June,,,,,,,,,,1.34,,
July,,,,,,,,,,5.26,,
August,,,,,,,,,,3.62,,
September,,,,,,,,,,2.32,,
October,,,,,,,,,,9.06,,
November,,,,,,,,,,4.28,,
December,,,,,,,,,,4.38,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.17,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
