"PLOCKTON, CARVER'S CROFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG806337,Long,-5.647603,Lat,57.340842,Elevation,4,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,6.24,4.5,3.5,4.92,3.45,6.56,7.69,3.63,6.27,3.84,7.87,9.4,4.87,9.17,6.6,,,,,,
February,,,,,,,,,,,4.37,6.7,4.3,4.23,5.45,4.45,7.08,1.46,7.49,1.19,8.05,2.75,8.04,2.6,3.43,,,,,,
March,,,,,,,,,,1.31,4.49,2.78,4.43,6.64,3.08,4.19,1.64,2.63,2.04,3.1,6.34,10.15,3.09,1.66,0.76,,,,,,
April,,,,,,,,,,3.24,5.01,4.95,5.18,4.94,1.86,5.31,3.82,4.27,2.41,5.45,2.42,2.58,2.66,3.29,3.38,,,,,,
May,,,,,,,,,,3.36,4.13,3,1.28,5.26,0.88,0.89,3.34,2.48,2.45,0.85,4.46,4.2,6.34,3.55,2.26,,,,,,
June,,,,,,,,,,1.34,1.59,2.93,4.09,5.32,2.43,0.56,1.65,2.7,3.37,7.37,2.55,2,3.46,4.47,4.53,,,,,,
July,,,,,,,,,,5.26,3.09,4.95,2.7,1.05,3.2,3.4,2.59,3.05,7.11,1.01,3.79,3.68,3.62,5.33,4.27,,,,,,
August,,,,,,,,,,3.62,5.7,3.49,3.84,1.85,4.26,3.78,1.63,4.54,7,5.32,2.54,3.17,2.98,7.97,4.23,,,,,,
September,,,,,,,,,,2.32,2.18,4.83,2.83,2.12,4.29,2.07,2.67,5.56,6.6,6.11,3.44,4.1,2.05,5.4,5.64,,,,,,
October,,,,,,,,,,9.06,3.95,3.01,7.08,5.47,2.25,1.95,7.28,10.72,8.19,2.77,1.19,5.8,2.64,9.61,,,,,,,
November,,,,,,,,,,4.28,3.42,6.07,9,9.09,7.06,3.37,6.93,10.63,5.57,4.51,6.12,1.71,5.45,4.81,,,,,,,
December,,,,,,,,,,4.38,5.15,9.02,11.3,7.22,7.99,5.56,5.29,3.08,6.11,6.44,2.26,8.87,6.47,6.82,,,,,,,
Total,,,,,,,,,,,49.32,56.23,59.53,58.11,46.2,42.09,51.61,54.75,64.61,47.96,51.03,58.41,51.67,64.68,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 total edited to match monthly sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
