DRIFFIELD - BEVERLEY ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA024570,Long,-0.439,Lat,53.999,Elevation,68,ft,,,,,,,,,,,,,
Station no,RR3119,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901
January,,1.98,2.06,2.91,2.06,2.98,1.35,1.05,1.31,2.09,1.11,1.17,1.48,2.06,4.37,0.64,1.88,0.68,2.23,3.23,1.45
February,,1.29,2.21,1.81,1.96,0.85,0.65,1.13,1.51,1.43,0.14,2.15,2.66,2.44,0.63,0.74,2.08,1.39,1.08,3.51,2.53
March,,1.72,1.23,1.78,1.46,2.79,1.15,2.06,2.02,1.37,1.80,1.40,0.44,1.13,2.40,1.88,2.88,1.66,2.09,0.69,1.86
April,,3.81,1.35,1.49,1.53,1.63,1.23,2.23,2.62,0.87,1.47,1.65,0.41,1.29,1.51,0.95,1.66,3.08,1.62,1.10,1.51
May,,1.48,1.90,1.03,2.19,4.67,1.78,0.74,2.80,2.52,1.66,2.97,1.87,1.97,0.54,0.78,0.94,2.21,3.69,1.24,0.77
June,,3.26,2.84,0.60,2.66,0.66,0.16,1.72,0.59,2.04,0.84,3.17,1.40,3.73,3.33,2.01,1.95,2.28,1.38,1.95,1.84
July,,3.57,3.46,1.68,1.40,3.16,1.17,5.35,2.49,1.51,3.64,1.58,1.92,2.95,4.69,0.90,0.44,0.59,1.24,1.33,0.88
August,,2.02,1.26,1.41,2.01,2.10,1.90,2.43,4.02,4.74,3.33,3.06,1.63,1.47,2.63,0.91,3.36,3.25,0.59,5.06,3.90
September,,1.16,4.20,1.01,3.28,1.11,2.16,1.56,1.22,1.50,1.43,1.01,1.88,1.00,1.13,2.84,2.67,0.37,3.63,0.85,0.76
October,3.12,5.17,2.94,1.14,6.00,2.91,2.97,1.07,4.38,1.45,3.28,6.66,1.51,3.90,3.80,5.04,1.82,3.57,2.16,2.88,1.46
November,1.61,3.06,2.38,1.39,1.55,1.87,1.83,2.89,0.91,2.77,2.77,1.69,3.86,1.43,2.42,1.59,2.67,2.58,1.22,2.36,3.45
December,2.25,4.43,1.76,2.15,0.98,3.36,1.68,1.75,1.18,0.90,2.85,0.98,2.21,2.71,1.99,3.40,2.18,2.27,2.35,3.38,3.98
Total,,32.95,27.59,18.40,27.08,28.09,18.03,23.98,25.05,23.19,24.32,27.49,21.27,26.08,29.44,21.68,24.53,23.93,23.28,27.58,24.39
,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/024,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/139,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/025,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
# The exact address was 9 Beverley Road.,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
# The gauge moved 300 yards to Lockwood Street in 1902.,,,,,,,,,,,,,,,,,,,,,
# The 1900s sheet is shared with the Lockwood Street site.,,,,,,,,,,,,,,,,,,,,,
