PORTSMOUTH-EASTNEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ684993,Long,-1.030994,Lat,50.789243,Elevation,12,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,676/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,
January,,,,,,,4.53,,,,,,,,,,,,,,,,,,,,,,0.64,0.9,2.58,,0.56,1.32,3.2,2.3,0.33,2.09,0.5,2.99,3.15,0.35,0.9,1.69,3.06,0.75,5.66,0.51,0.81,0.9,2.76,0.82,3.27,4.35,0.43,3.53,0.96,1.13,3.27,5.54,3.91,3.45,4.01,1.4,2.57,4.26,3.86,1.85,3.67,1.16,2.99,1.76,2.46,1.86,2.09,0.42,4.22,5.22,2.8,4.4,3.21,3.38,2.9,4.5,1.9,1.19,1.85,2.99,4.73,0.58,0.85,2.89,2.15,1.08,1.54,3.1,4.03,2.11,4.32,3.37,3.77,,,,,,
February,,,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,0.72,1.24,0.17,,0.77,2.01,1.61,0,0.22,3.09,1.77,2.6,4.04,0.95,1.46,1.26,3.45,0.44,3.21,0.87,0.67,0.22,3.24,1.39,1.59,1.03,4.11,4.98,3.36,1.03,0.79,2.13,0.43,0.4,2.49,4.52,0.28,4.49,1.69,3.41,1.4,0.87,1.32,1.09,0.06,3.28,,3.02,2.75,4.12,0.45,1.1,2.5,2.43,0.49,1.39,0.52,1.45,2.6,2.25,0.94,0.97,2.55,5.49,0.54,1.13,2.65,1.28,0.04,4.13,2.71,0.08,3.08,,,,,,
March,,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,2.78,1.33,0.83,,0.65,0.53,1.02,1.06,2.51,3.79,0.44,0.55,0.86,2.01,1.69,2.01,0.52,4.07,0.83,0.22,2.38,3.39,0.83,1.32,3.32,2.95,4.35,0.4,2.75,1.83,0.93,3.84,1.7,0.85,1.74,1.47,1.29,0.26,0.41,2.19,1.75,0.07,1.07,0.97,1.28,2.59,3.09,0.54,1.48,3.27,0.35,0.99,2.7,3.04,2.44,0.62,0.13,0.71,0.91,5.35,0.67,1.5,1.06,3.88,2.26,0.37,3.32,1.1,0.22,1.48,1.11,1.85,1.6,,,,,,
April,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,1.11,1.63,2.32,,0.64,0.04,1.72,1.66,0.49,1.7,1.12,2.28,0.88,2.16,0.92,1.7,1.22,1.32,0.57,2.92,1.82,1.37,1.5,1.17,0.07,2.14,0.93,1.13,0.65,1.74,1.8,1.56,2,1.05,2.85,2.78,1.87,2.33,2.23,1.64,1.83,0.76,2.19,2.2,2.38,1.06,1.85,2.56,1.39,1.47,0.01,2.17,0.9,1.73,1.34,0.77,1.14,1.06,2.14,1.66,1.42,1.01,1.67,1.97,1.17,1.02,0.36,0.31,1.61,0.15,0.61,1.81,0.65,,,,,,
May,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,1.34,2.37,1.24,,0.97,0.64,0.82,0.11,0.31,1.01,2.83,0.8,1.02,0.61,1.46,2.09,3.54,0.4,1.76,1.81,1.24,1.37,1.31,2.27,1.21,2.38,0.89,3.11,1.25,1.82,1.35,0.32,1.12,0.89,0.44,2.66,2.66,3.91,1.84,0.74,1.88,1.5,1.01,2.53,3.98,2.04,1,0.87,0.11,1.2,1.31,1.13,0.51,1.5,2.72,2.64,0.42,1.79,3.25,0.9,1.94,1.14,1.27,2.38,1.79,2.26,2.33,3.51,0.41,0.7,2.64,0.27,1.46,,,,,,
June,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,2.58,0.47,2.24,,1.44,0.8,1.7,0.47,1.32,2.67,1.21,0.45,2.43,1.1,2.83,1.83,0.86,3.83,1.26,1.56,0.59,2.5,1.71,1.43,2.95,0.42,1.14,0.69,1.15,2.53,0.68,0.73,2.1,0.09,1.04,0.31,2.8,0,2.11,2.42,1.82,1.07,0.99,1.22,1.21,1.06,1.1,1.97,2.99,0.72,0.55,0.96,0.16,0.16,0.45,1.06,1.09,1.64,2.3,1.36,1.47,0.58,0.9,1.44,1.33,1.45,2.5,2.42,1.74,1.21,2.44,0.26,1.66,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,1.5,1.64,,2.74,3.57,4.68,3.22,0.54,0.62,0.17,2.85,0.99,3.56,1.61,2.43,1.02,0.18,0.36,1.13,1.27,1.71,1.86,1.14,1.24,1.34,2.38,3.07,0.56,1.83,2.34,0.98,4.83,0.29,2.58,0.83,2.37,3.47,1.14,2.44,1.19,2.51,1.25,2.15,2.28,1.31,1.06,0.92,3.49,1.28,1.31,2.03,2.82,2.71,1.2,2.29,2.02,3.98,1.92,1.19,0.86,0.26,3.19,1.9,0.24,2.49,3.28,1.14,1.95,4.23,2.23,3.19,2.38,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,1.38,2.62,,2.3,0.42,1.16,2.55,1.68,2.66,1.23,0.44,1.69,1.27,2.83,4.11,1.98,2.07,0.58,0.84,2.23,2.72,3.32,0.73,6.06,1.52,1.41,0.76,1.11,5.07,2.2,2.85,0.85,1.6,3.18,1.95,2.2,3.9,1.19,2.12,3.3,1.33,2.88,2.4,1.2,0.65,2.79,2.67,0.15,0.89,0.93,1.26,0.01,3.32,2.14,0.9,1.68,1.35,4.08,0.85,2.91,0.89,2,3.45,1.84,1.68,2.45,0.82,3.44,2.15,3.76,3.51,4.15,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.51,0.6,,2.17,1.19,3.59,0.74,6.56,2.58,0.98,1.93,0.39,1.9,0.64,4.18,1.2,2.4,1.17,0.47,0.97,3.37,0.04,1.33,2.41,3,1.07,2.5,1.71,0.99,5.2,1.24,1.89,0.57,1.26,2.26,4.32,2.19,0.77,4.86,0.96,0.28,1.9,1.41,2.43,3.08,1.68,3,3.08,2.1,1.38,0.67,1.49,0.9,1.83,1.41,1.38,1.42,2.51,1.04,1.47,2.36,2.3,3.13,4.45,3.06,2.53,1.9,2.43,3.33,3.31,0.13,4.56,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,6.35,0.68,,3.56,4.12,4.29,2.26,2.26,0.28,3.05,2.28,2.84,2.05,1.55,6.45,1.99,1.36,3.41,5.05,2.58,6.47,3.7,5.16,2.72,4.39,1.95,2.97,3.65,3.5,1.07,0.5,3.97,1.01,0.96,5.26,4.77,2.98,2.15,1.72,6.61,2.49,2.32,0.44,5.94,2.01,1.51,4.03,0.62,2.43,3.12,5.73,3.22,0.93,2.91,2.69,3.56,3.36,0.7,1.17,1.68,6.9,0.29,1.08,3.57,2.83,2.28,2.13,1.23,1.68,1.79,2.45,7.32,,,,,,
