"PORTSMOUTH (EASTNEY)",,,,,,,,,,,,
Grid ref,SZ684993,Long,-1.030994,Lat,50.789243,,,,,,,
Station no,676/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.89,2.15,1.08,1.54,3.10,4.03,2.11,4.32,3.37,3.77,,
February,5.49,0.54,1.13,2.65,1.28,0.04,4.13,2.71,0.08,3.08,,
March,3.88,2.26,0.37,3.32,1.10,0.22,1.48,1.11,1.85,1.60,,
April,1.97,1.17,1.02,0.36,0.31,1.61,0.15,0.61,1.81,0.65,,
May,2.38,1.79,2.26,2.33,3.51,0.41,0.70,2.64,0.27,1.46,,
June,1.44,1.33,1.45,2.50,2.42,1.74,1.21,2.44,0.26,1.66,,
July,1.90,0.24,2.49,3.28,1.14,1.95,4.23,2.23,3.19,2.38,,
August,3.45,1.84,1.68,2.45,0.82,3.44,2.15,3.76,3.51,4.15,,
September,3.13,4.45,3.06,2.53,1.90,2.43,3.33,3.31,0.13,4.56,,
October,1.08,3.57,2.83,2.28,2.13,1.23,1.68,1.79,2.45,7.32,,
November,6.44,3.95,1.51,5.35,1.50,0.61,2.93,2.17,3.88,5.22,,
December,2.68,2.53,0.67,3.03,4.36,4.30,1.79,3.16,6.86,4.11,,
Total,36.73,25.82,19.55,31.62,23.57,22.01,25.89,30.25,27.66,39.96,,
Calc annual,36.73,25.82,19.55,31.62,23.57,22.01,25.89,30.25,27.66,39.96,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
