MAPERTON RECTORY,,,,,,,,,,,,
Grid ref,ST671263,Long,-2.470581,Lat,51.035111,,,,,,,
Station no,RR8911,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.03,5.58,0.92,1.61,1.78,,
February,,,,,,1.09,3.11,1.48,1.46,1.17,,
March,,,,,,4.04,1.95,0.89,3.10,4.90,,
April,,,,,,2.47,1.49,4.80,2.65,2.29,,
May,,,,,,0.43,4.99,2.04,2.02,1.40,,
June,,,,,,3.96,2.23,2.55,0.41,3.58,,
July,,,,,,0.55,1.45,2.06,2.06,3.60,,
August,,,,,,4.52,2.08,2.51,3.05,2.36,,
September,,,,,,1.47,1.07,0.71,3.22,3.23,,
October,,,,,,2.32,5.29,6.48,2.67,6.93,,
November,,,,,,4.44,3.34,3.68,1.57,0.77,,
December,,,,,,1.09,2.45,5.35,3.91,5.23,,
Total,,,,,,27.41,35.03,33.47,27.73,37.24,,
Calc annual,0.00,0.00,0.00,0.00,0.00,27.41,35.03,33.47,27.73,37.24,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,,
