MAPERTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,ST670262,Long,-2.47121,Lat,51.03476,Elevation,367,ft,,,,,,,,,,,,
Station no,RR8911,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.03,5.58,0.92,1.61,1.78,4.45,1.4,5.77,,,,,,,
February,,,,,,1.09,3.11,1.48,1.46,1.17,4.65,2.23,,,,,,,,
March,,,,,,4.04,1.95,0.89,3.1,4.9,0.95,2.74,,,,,,,,
April,,,,,,2.47,1.49,4.8,2.65,2.29,2.92,2.94,,,,,,,,
May,,,,,,0.43,4.99,2.04,2.02,1.4,2.69,1.16,,,,,,,,
June,,,,,,3.96,2.23,2.55,0.41,3.58,6.54,2.21,,,,,,,,
July,,,,,,0.55,1.45,2.06,2.06,3.6,3.36,0.05,,,,,,,,
August,,,,,,4.52,2.08,2.51,3.05,2.36,4.13,1.73,,,,,,,,
September,,,,,,1.47,1.07,0.71,3.22,3.23,0.2,1.32,,,,,,,,
October,,,,,,2.32,5.29,6.48,2.67,6.93,5.02,3.02,,,,,,,,
November,,,,,,4.44,3.34,3.68,1.57,0.77,4.76,3.1,,,,,,,,
December,,,,,,1.09,2.45,5.35,3.91,5.23,7.45,10.55,,,,,,,,
Total,,,,,,27.41,35.03,33.47,27.73,37.24,47.12,32.45,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1912 Feb Estimated ,,,,,,,,,,,,,,,,,,,,
1912 Mar Station terminated,,,,,,,,,,,,,,,,,,,,
