AUCHTERMUCHTY,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 23903 11701,Long,-3.230997,Lat,56.291625,Elevation,179,ft,,,,,,,,,,,,
Station no,RR4210,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,1.77,1.96,4.55,4.13,2.99,5.9,2.45,6.62,3.03,2.02,1.59,0.68,2.67,,,,,,,
February,2.34,4.12,4.52,1.28,0.97,1.72,4.5,2.06,1.35,4.19,2.84,4.54,2.51,,,,,,,
March,0.82,1.58,2.59,1.94,2.22,1.9,3.45,2.53,0.49,3.13,2.68,2.42,3.25,,,,,,,
April,0.46,5.53,1.65,0.31,1.65,0.72,3.48,2.63,1.37,2.34,3.69,0.93,3.59,,,,,,,
May,2.36,1.26,4.91,2.51,2.45,1.3,0.36,2.03,4.32,2.52,0.61,2.08,2.61,,,,,,,
June,1.66,2.54,3.95,0.98,0.68,2.23,3.06,3.72,2.72,4.31,2.03,2.64,2.76,,,,,,,
July,1.7,4.24,3.51,4.12,2.49,2.72,2.81,5,0.51,4.47,2.79,3.72,3.72,,,,,,,
August,1.02,2.37,4.26,3.16,4.21,2.09,3.82,7.9,5.52,4.14,0.62,4.17,2.23,,,,,,,
September,3.56,1.83,3.88,4.1,3.73,3.21,3.68,1.97,3.01,3.02,2.83,3.19,1.92,,,,,,,
October,4.02,3.64,3.79,4.36,4.2,4.61,4.35,4.11,3.83,1.07,2.05,3.7,3.63,,,,,,,
November,1.56,3.14,5.6,2.63,3.24,4.79,4.63,4.54,2.36,1.67,3.93,4.43,4.25,,,,,,,
December,3.5,2.32,4.98,2.35,2.1,2.65,10.02,2.64,1.99,1.8,2.46,3.15,4.15,,,,,,,
Total,24.77,34.53,48.19,31.87,30.93,33.84,46.61,45.75,30.5,34.68,28.12,35.65,37.29,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4210,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
