MONTROSE MIX - HIGH STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO714580,Long,-2.467996,Lat,56.713261,Elevation,22,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,,,,1.16,3.12,0.45,3.75,2.41,2.45,2.09,1.97,2.78,2.31,3.9,1.72,,,,,,,,,,,
February,,,,,,,,,,1.26,1.02,1.45,1.46,0.31,3.18,2.05,2.04,0.58,1.57,0.79,2.42,,,,,,,,,,,
March,,,,,,,,,,2.39,1.88,2.1,2.43,0.8,2.11,1.26,2.19,1.26,1.83,0.81,0.35,,,,,,,,,,,
April,,,,,,,,,,2.07,,0.78,1.09,1.55,1.06,0.84,0.96,2.47,2.64,1.2,0.41,,,,,,,,,,,
May,,,,,,,,,,0.23,,1.28,3.67,1.48,1.75,1.93,1.04,2.89,1.9,1.56,1.36,,,,,,,,,,,
June,,,,,,,,,,1.98,,2.04,4,3.37,1.04,0.27,1.11,1.11,0.53,1.83,1.21,,,,,,,,,,,
July,,,,,,,,,,2.95,,2.11,2.83,0.45,1.9,2.96,1.8,4.1,0.15,0.65,1.1,,,,,,,,,,,
August,,,,,,,,,,1.22,,4.38,1.85,3.76,1.03,3.03,2,2.6,4.42,0.86,0.85,,,,,,,,,,,
September,,,,,,,,,2.06,1.56,,3.86,2.43,3.26,3.46,0.28,2.91,1.38,4.79,3.48,2.16,,,,,,,,,,,
October,,,,,,,,,3.26,4.91,,1.59,3.12,2.56,6.28,3.5,2.49,1.9,1.98,-999,3.53,,,,,,,,,,,
November,,,,,,,,,2.36,2.65,5.43,3.46,0.74,1.67,3.36,3.37,1.33,0.36,0.92,-999,2.65,,,,,,,,,,,
December,,,,,,,,,3.8,2.67,3.95,2.33,2.9,1.85,3.31,1.68,2.34,0.98,6.7,1.91,3.81,,,,,,,,,,,
Total,,,,,,,,,,25.05,,25.83,30.27,23.47,30.93,23.26,22.18,22.41,29.74,19.54,21.57,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the north end of High Street, the observer, Walter Leighton, had a shop in Murray Street, which is an extension of High Street to the north. He lived in North Street which is NW of this location but no reason to believe the gauge was located there",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Met Office records:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_H_pt1-page-231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_07_pt2-page-168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_12_pt2-page-018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
