"MONTROSE",,,,,,,,,,,,
Grid ref,NO724582,Long,-2.452494,Lat,56.714667,,,,,,,
Station no,5601,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.11,1.18,0.57,1.18,,,,,,,,
February,2.11,0.75,0.61,2.16,,,,,,,,
March,1.74,2.74,0.25,2.00,,,,,,,,
April,2.36,1.10,2.86,1.15,,,,,,,,
May,1.24,2.78,1.73,3.11,,,,,,,,
June,1.58,2.35,1.28,1.53,,,,,,,,
July,2.75,2.26,3.62,1.68,,,,,,,,
August,3.61,2.05,2.19,,,,,,,,,
September,1.51,0.56,2.58,,,,,,,,,
October,0.77,2.34,1.17,,,,,,,,,
November,6.24,1.72,2.23,,,,,,,,,
December,1.41,1.90,2.92,,,,,,,,,
Total,29.43,21.73,22.01,,,,,,,,,
Calc annual,29.43,21.73,22.01,12.81,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
