MONTROSE MIX - MUSEUM?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO716577,Long,-2.464696,Lat,56.710579,Elevation,37,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,,,0.6,1.05,2.33,1.1,2.7,2,2.1,2.1,1.98,2.8,2.33,,,0.75,2.42,3.2,1.23,2.25,,,,,,
February,,,,,,,,,0.7,1.22,0.82,0.73,1.5,0.35,3.18,2.05,2.05,0.6,1.55,,,3.55,,0.65,0.62,1.3,,,,,,
March,,,,,,,,2.2,1.1,1.88,1.62,1.35,2.42,0.85,2.07,1.3,2.03,1.3,1.82,,,0.62,,1.88,1.23,,,,,,,
April,,,,,,,,2.27,0.85,2,0.6,0.8,0.93,1.18,1,0.98,0.95,2.53,2.68,,,5.35,,0.6,0.75,,,,,,,
May,,,,,,,,1.25,1.8,0.2,1.1,1.25,3.6,1.15,1.73,2.47,0.77,2.97,1.92,,,0.62,,2.2,2.12,,,,,,,
June,,,,,,,,1.35,2.32,1.72,3.3,1.87,3.3,2.82,1.4,0.21,1.13,1.13,0.55,,,1.35,,0.47,0.53,,,,,,,
July,,,,,,,,1.13,3.1,2.8,1.3,2.48,2.2,0.5,1.9,3.45,1.85,4.17,0.2,,,3.52,,3.08,1.65,,,,,,,
August,,,,,,,,0.45,2.27,1,4.82,4.55,2.1,2.8,1.25,3.1,2.02,2.63,4.48,,,1.55,,1.87,4.65,,,,,,,
September,,,,,,,,1.85,1.85,0.98,0.75,3.7,3.1,2.73,2.5,0.27,2.88,1.42,4.85,,,2.12,,4.5,1.67,,,,,,,
October,,,,,,,,0.55,2.63,3.82,1.7,0.95,2.65,2,6.25,2.78,2.55,1.98,2,,,2.48,,2.45,2.15,,,,,,,
November,,,,,,,,2.27,2.2,2.18,3.75,3.35,0.85,1.72,3.25,3.12,1.52,0.37,0.95,,,1.88,,2.1,1.9,,,,,,,
December,,,,,,,,0.6,3,2.2,4.23,1.9,2.25,1.55,3.5,1.55,2.37,0.95,6.72,,,1.08,3.02,1.68,2.28,,,,,,,
Total,,,,,,,,,22.42,21.05,26.32,24.03,27.6,19.65,30.13,23.38,22.1,22.85,30.05,,,24.87,,24.68,20.78,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is for the museum because Montrose Museum is pencilled in on the 1850s sheet, the quoted latitude puts the gauge further south but the longitude is not in Montrose so these are probably not reliable. Quoted altitude does not match until 1865 where there is a note that implies the gauge moved and/or changed height. The 1870s record is definitely the Museum but with a different observer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Met Office records:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_H_pt1-page-232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_07_pt2-page-169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_12_pt2 page 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
