MONTROSE MIX - BRIDGE ST,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO711575,Long,-2.47284,Lat,56.708751,Elevation,25,ft,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,2.17,1.83,2.33,5.22,2.38,3.68,1.83,0.9,3.42,2.87,,4,,,,,,
February,,,,,3.09,2.21,2.42,0.96,1.52,0.68,2.7,3.28,4.63,1.01,,1.71,,,,,,
March,,,,,1.9,1.64,2.93,1.99,1.75,0.87,0.64,0.81,2.33,2,,1.89,,,,,,
April,,,,,0.98,0.91,1.05,2.49,2.68,0.92,0.56,5.24,1.94,0.27,,1.17,,,,,,
May,,,,,1.24,2.02,1.2,3,1.98,1.52,1.38,0.62,1.31,2.14,,1.32,,,,,,
June,,,,,0.94,0.27,1.17,0.94,0.4,1.71,1.21,1.42,3.75,1,,2.65,,,,,,
July,,,,,1.85,3.67,2.16,4.36,0.14,0.71,1.13,3.98,1.88,3.15,,2.8,,,,,,
August,,,,,1.04,3.47,2.03,2.78,4.2,1.22,0.95,1.85,2.25,2.73,5.76,1.65,,,,,,
September,,,,,3.44,0.32,3,1.55,4.76,5.01,2.45,2.55,4.75,6.26,2.05,4.45,,,,,,
October,,,,,6.19,3.72,2.68,2.08,2.08,3.48,4.05,2.7,2.5,2.85,2.43,4.45,,,,,,
November,,,,,3.55,3.41,1.53,0.35,0.94,0.32,3.02,2.32,4.82,2.45,2.48,4.48,,,,,,
December,,,,,3.53,2.03,2.65,1.08,6.42,2.55,4.18,1.14,3.65,1.9,1.71,2.32,,,,,,
Total,,,,,29.92,25.5,25.15,26.8,29.25,22.67,24.1,26.81,37.23,28.63,,32.89,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,
"NGR is the middle of Bridge Street, which is about 300 yards long",,,,,,,,,,,,,,,,,,,,,,
Met Office records:,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_07_pt2-page-167,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_12_pt2-page-017,,,,,,,,,,,,,,,,,,,,,,
